"corte_publicacion","codigo_entidad","entidad","grupo_institucional","codigo_grupo_institucional","periodo_balance_resultados","periodo_indicadores","resultado_integral_acumulado_miles_pesos","otro_resultado_integral_acumulado_miles_pesos","resultado_neto_estimado_sin_ori_miles_pesos","intereses_por_prestamos_personales_miles_pesos","intereses_personales_pesos_cuenta_511107_miles_pesos","intereses_personales_moneda_extranjera_cuenta_515107_miles_pesos","ingresos_financieros_totales_miles_pesos","egresos_financieros_totales_miles_pesos","cargo_por_incobrabilidad_total_miles_pesos","ingresos_por_servicios_totales_miles_pesos","gastos_administracion_totales_miles_pesos","intereses_personales_sobre_ingresos_financieros_pct","prestamos_personales_miles_pesos","activo_total_miles_pesos","previsiones_miles_pesos","prestamos_personales_sobre_activo_pct","previsiones_sobre_prestamos_personales_pct","resultado_neto_sobre_activo_pct_no_anualizado","roe_pct","roa_pct","tasa_implicita_prestamos_totales_pct","margen_financiero_sobre_activo_pct","cargos_incobrabilidad_sobre_activo_pct","cartera_irregular_consumo_pct","unidad_balance","nota_comparabilidad"
"2023-09","7","BANCO DE GALICIA Y BUENOS AIRES S.A.U.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","146032619","142","146032477","81437420","81437420",,"2227969204","1456036473","54700977","174682017","234929243","3,655231","155922987","5437178959","-61096377","2,867719","-39,183688","2,685813","18,78","3,33","55,39","20,3","-1,59","4,5","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","11","BANCO DE LA NACION ARGENTINA","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","521455419","-1433483","522888902","106642636","106642636",,"5868842219","3579734088","89038438","107711412","367643351","1,817098","198493809","13544900696","-240398619","1,46545","-121,111394","3,860411","27,6","5,26","65,24","24,2","-0,96","3,48","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","14","BANCO DE LA PROVINCIA DE BUENOS AIRES","Bancos P�blicos","Casa Central","Set-2023","Set-2023","27714935","2113865","25601070","90932191","90932191",,"2443685782","1788787372","30761852","132263565","349941921","3,721108","245983049","5926267958","-45991293","4,150724","-18,696936","0,431993","12,12","1,57","53,88","14,36","-0,82","2,86","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","15","INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.","Bancos Locales de Capital Extranjero","Casa Central no operativa","Set-2023","Set-2023","27126220","-21103545","48229765","10897020","10897020",,"969261561","607080130","18628149","43615584","148917542","1,12426","17267756","2451420139","-13615296","0,704398","-78,848091","1,967421","9,29","1,57","47,12","22,29","-0,97","2,34","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","16","CITIBANK N.A.","Bancos Sucursales de Entidades Financieras del Ext","Casa Central","Set-2023","Set-2023","69309330","-104588","69413918",,,,"674383978","71349723","7934250","26927268","51558954","0",,"1618623870","-9784349","0",,"4,288453","17,95","6,97","62,49","51,25","-0,43","99999","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","17","BANCO BBVA ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Matriz","Set-2023","Set-2023","71492669","-3743124","75235793","62876002","62876002",,"1518001398","844212103","35659382","118684312","257128942","4,142025","118533600","3837555516","-39582636","3,088779","-33,3936","1,960513","12,82","2,4","54,19","24,19","-1,25","2,49","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","20","BANCO DE LA PROVINCIA DE CORDOBA S.A.","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","2336499",,"2336499","20538512","20538512",,"679933189","532611594","9258792","29417830","111819928","3,020666","45436479","1489373501","-7394197","3,050711","-16,273702","0,156878","2,35","0,2","65,58","14,82","-0,74","1,58","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","27","BANCO SUPERVIELLE S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","14142433","-416698","14559131","32239097","32239097",,"585464826","426747615","13938005","39441129","117914333","5,506581","42603433","1238721638","-12254787","3,439306","-28,764788","1,175335","6,75","0,79","68,52","17,91","-1,56","3,88","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","29","BANCO DE LA CIUDAD DE BUENOS AIRES","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","82592429","196204","82396225","21259819","21259819",,"958175315","535479444","10452253","20574162","87410165","2,218782","47509588","2293321340","-14004763","2,07165","-29,477761","3,592877","26,97","4,66","72,13","27,33","-0,62","3,68","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","34","BANCO PATAGONIA S.A.","Bancos Locales de Capital Extranjero","Casa Central","Set-2023","Set-2023","42707267","2391233","40316034","18716408","18716408",,"884721508","596109075","2960005","40053252","94211674","2,115514","30973694","1874940219","-4490507","1,651983","-14,497809","2,150257","17,24","2,99","53,98","22,53","-0,25","1,59","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","44","BANCO HIPOTECARIO S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","13450896",,"13450896","6273756","6273756",,"379922669","303801614","2377900","20905019","42209949","1,651324","8218264","879451032","-3893976","0,934477","-47,381978","1,529465","12,67","1,65","63,19","13,86","-0,14","2,49","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","45","BANCO DE SAN JUAN S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","11720327","0","11720327","5490540","5490540",,"119150987","61358493","1061220","5297861","19754903","4,608052","7550648","262300018","-693000","2,87863","-9,17802","4,468291","12,98","7,06","66,88","16,6","-0,26","2,41","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","65","BANCO MUNICIPAL DE ROSARIO","Bancos P�blicos","Casa Central","Set-2023","Set-2023","2341588",,"2341588","2072411","2072411",,"45809779","22091087","439904","3781214","11311795","4,523949","5642327","97805325","-512943","5,768936","-9,090983","2,394131","18,58","3,3","59,39","30,78","-0,51","2,31","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","72","BANCO SANTANDER ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Central","Set-2023","Set-2023","144693147","1275904","143417243","56458893","56458893",,"1935363082","1240904792","53152520","222895272","266141215","2,917225","111509605","5107867904","-63025412","2,183095","-56,520164","2,807771","19,21","3,09","54,29","19,31","-1,33","3,08","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","83","BANCO DEL CHUBUT S.A.","Bancos P�blicos","Casa Central no operativa","Set-2023","Set-2023","9802213",,"9802213",,,,"106348154","44010965","1435611","4965646","19774880","0","8905736","242853395","-1355420","3,667124","-15,219629","4,036268","26,55","5,22","59,87","32,71","-0,8","2,24","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","86","BANCO DE SANTA CRUZ S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","6208626",,"6208626","7953971","7953971",,"77589508","47360432","677476","4051663","11257880","10,251349","11496078","155451322","-583391","7,395291","-5,074696","3,993936","29,26","4,77","57,58","24,02","-0,5","2","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","93","BANCO DE LA PAMPA SOCIEDAD DE ECONOM�A MIXTA","Bancos P�blicos","Casa Central","Set-2023","Set-2023","7245562",,"7245562","5078481","5078481",,"195204754","105755807","2453671","9032522","28112441","2,601617","15366960","368263139","-3941119","4,172821","-25,646706","1,967496","14,28","2,84","64,67","30,86","-0,99","1,81","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","94","BANCO DE CORRIENTES S.A.","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","11436319",,"11436319","5000640","5000640",,"114112043","43149315","1158280","11563767","26517519","4,382219","10744048","236487527","-1232157","4,543177","-11,468275","4,835908","25,02","6,09","58,72","37,45","-0,54","3,11","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","97","BANCO PROVINCIA DEL NEUQU�N SOCIEDAD AN�NIMA","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","15320707",,"15320707",,,,"142997721","47302099","2045465","9649219","32769247","0","26664295","325059293","-2624544","8,202902","-9,842915","4,713204","25,77","6,12","56,07","37,09","-0,81","2,99","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","131","BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES","Bancos Sucursales de Entidades Financieras del Ext","","Set-2023","Set-2023","-2856487","-1918","-2854569",,,,"7339064","2688733","5413","48988","1456027","0",,"23927436","-4371","0",,"-11,930108","-36,65","-23,23","70,4","43,47","-0,03","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","143","BRUBANK S.A.U.","Bancos Locales de Capital Nacional","Casa Central no operativa","Set-2023","Set-2023","-719433",,"-719433","2068912","2068912",,"20303412","8345600","382989","2291239","7466559","10,189972","2330565","44908036","-211830","5,189639","-9,089212","-1,602014","-12,14","-1,65","77,46","36,14","-1,19","8,19","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","147","BIBANK S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","15573","0","15573","6","6",,"15404459","10587814","129505","126672","3474455","3,9E-05","0","31505549","-120570","0",,"0,049429","-3,04","-0,58","88,03","24,94","-0,68","16,84","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","150","HSBC BANK ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Matriz","Set-2023","Set-2023","58278965","-669076","58948041","21318616","21318616",,"713151888","347646954","11158062","33378844","119987731","2,989351","44294938","1782180514","-15844274","2,485435","-35,769943","3,307636","17,17","3,07","51,58","24,34","-0,7","1,93","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","158","OPEN BANK ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Central no operativa","Set-2023","Set-2023","-8412501","6864","-8419365","969","969",,"4530945","1927299","48","30445","9956597","0,021386","5823","14189159","-37","0,041038","-0,635411","-59,336603","-126,52","-75,26","63,4","26,82","0","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","165","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS A","Bancos Sucursales de Entidades Financieras del Ext","Casa Central","Set-2023","Set-2023","-9429843",,"-9429843",,,,"78310842","12862750",,"4447067","9721581","0",,"131013308","0","0",,"-7,197622","-8,67","-6,63","82,81","65,04","0","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","191","BANCO CREDICOOP COOPERATIVO LIMITADO","Bancos Locales de Capital Nacional","Casa Central no operativa","Set-2023","Set-2023","40254965","-2056342","42311307","7622834","7622834",,"1230476079","800729920","4270347","52521546","138410327","0,619503","13389479","2501789669","-5081718","0,535196","-37,953067","1,691242","11,71","2,47","48,88","22,71","-0,19","1,43","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","198","BANCO DE VALORES S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","2680539","33918","2646621",,,,"160131498","124412343","297549","3801526","9108748","0",,"690674450","-112556","0",,"0,383194","10,75","0,9","69,01","13,16","-0,07","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","247","BANCO ROELA S.A.","Bancos Locales de Capital Nacional","Casa Central no operativa","Set-2023","Set-2023","2916384",,"2916384","321","321",,"15696817","2465856","67752","2820300","2859231","0,002045","649","30427476","-17444","0,002133","-2687,827427","9,584706","27,67","12,47","62,74","56,1","-0,31","0,51","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","254","BANCO MARIVA S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","6245257",,"6245257",,,,"43461003","30313922","460380","1147147","5374801","0","217","104762435","-399804","0,000207","-184241,474654","5,961352","28,08","6,1","83,84","19","-0,54","14,74","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","259","BANCO ITAU ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Central no operativa","Set-2023","Set-2023","6392122","53504","6338618","7819749","7819749",,"293047030","184349099","3816499","17515105","56254770","2,668428","10860805","616179938","-6698552","1,762603","-61,676386","1,028696","3,79","0,58","66,93","21,55","-0,61","2,3","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","266","BNP PARIBAS","Bancos Sucursales de Entidades Financieras del Ext","Casa Central","Set-2023","Set-2023","218832","0","218832",,,,"25061992","8784803","3998","1646717","7575906","0",,"50268586","0","0",,"0,435326","9,05","2,92","78,56","46,01","-0,02","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","268","BANCO PROVINCIA DE TIERRA DEL FUEGO","Bancos P�blicos","Casa Central no operativa","Set-2023","Set-2023","5441047",,"5441047","6374697","6374697",,"41921065","11855334","490485","3287245","10105689","15,206429","11372652","92927273","-890524","12,238228","-7,830399","5,855167","22,46","7,12","62,98","34,61","-0,54","1,11","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","269","BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY","Bancos Sucursales de Entidades Financieras del Ext","Casa Matriz","Set-2023","Set-2023","-684215",,"-684215","798","798",,"187508","23526","525","58967","610196","0,425582","821","2066606","-528","0,039727","-64,311815","-33,108149","-116,31","-40,49","67,4","10,08","-0,03","4,42","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","277","BANCO SAENZ S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","578253","0","578253","5957520","5957520",,"15886722","8685953","765460","411187","2943986","37,499995","4820861","20669866","-673882","23,323136","-13,978457","2,797565","10,46","2,24","103,86","44,4","-3,53","9,24","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","281","BANCO MERIDIAN S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","155553","0","155553",,,,"5214831","2996733","92780","486592","2052303","0",,"12732077","-78962","0",,"1,221741","-2,64","-0,58","66,61","21,02","-1,18","0,16","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","285","BANCO MACRO S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","83372588","97239","83275349","122465080","122465080",,"1646256783","887069443","18060852","122346230","206774294","7,439002","189106076","3576302666","-21541236","5,287754","-11,391086","2,328532","10,96","2,8","58,36","26,2","-0,58","1,62","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","299","BANCO COMAFI SOCIEDAD ANONIMA","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","18098609","0","18098609","2442109","2442109",,"389174201","283276731","2129581","15052797","54317074","0,627511","3851438","542454360","-2592079","0,710002","-67,30159","3,33643","24,58","2,98","61,17","21,97","-0,37","2,37","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","300","BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.","Bancos P�blicos","Casa Central","Set-2023","Set-2023","-4893058","-499560","-4393498",,,,"164335185","76817835","3122767","591593","13954933","0",,"451373172","-1799103","0",,"-0,973363","8,04","2,33","27","27,84","-0,89","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","301","BANCO PIANO S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","1291306",,"1291306","14000379","14000379",,"44829698","23604903","1148864","3491912","16354945","31,230143","18110112","106891173","-1033710","16,94257","-5,707916","1,208057","6,94","0,76","77,37","27,75","-1,79","6,64","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","305","BANCO JULIO SOCIEDAD ANONIMA","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","322768",,"322768",,,,"6242178","2514581","162715","386550","1615631","0","4831","12844638","-159528","0,037611","-3302,173463","2,512862","11,9","3,52","91,42","43,51","-1,56","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","309","BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL","Bancos P�blicos","Casa Central","Set-2023","Set-2023","1258566",,"1258566","5129880","5129880",,"27659463","8660720","1002680","1404970","7956991","18,546564","8366073","71886152","-700815","11,637948","-8,376869","1,750777","3,69","1,13","53,46","31,78","-1,65","3,73","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","310","BANCO DEL SOL S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","-2933311",,"-2933311",,,,"24662001","15832176","321894","300360","8336242","0","2820404","52605475","-340654","5,361427","-12,078199","-5,576056","-21,57","-5,29","59,1","22,74","-0,79","2,63","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","311","NUEVO BANCO DEL CHACO S. A.","Bancos P�blicos","Casa Central","Set-2023","Set-2023","6501407",,"6501407",,,,"126269827","63597085","2809188","9343096","34794850","0","25407336","263244488","-3284082","9,651612","-12,925723","2,469722","21,51","3,66","67,24","28,66","-1,24","2,38","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","312","BANCO VOII S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","-2579084",,"-2579084","4076533","4076533",,"14011730","16596889","229656","135590","3124691","29,093716","2980236","28195758","-185678","10,569803","-6,230312","-9,147064","-47,04","-9,08","106,66","-4,54","-0,33","3,75","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","315","BANCO DE FORMOSA S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","1316069",,"1316069","9408762","9408762",,"61370211","19184980","1720463","2677725","26789208","15,331155","15561005","174929222","-1334701","8,895601","-8,577216","0,752344","13,14","2,45","64,91","33,36","-1,42","4,55","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","319","BANCO CMF S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","1309061","-307303","1616364",,,,"63013276","40008144","263657","1464323","8109540","0","0","141469755","-1078955","0",,"1,142551","7,32","2,23","84,44","25,65","-0,29","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","321","BANCO DE SANTIAGO DEL ESTERO S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","4353343",,"4353343",,,,"178737258","49227283","1648769","13468031","20819381","0","27675521","356815226","-3017574","7,756261","-10,903404","1,220055","7,01","2,67","59,59","41,67","-0,57","5,13","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","322","BANCO INDUSTRIAL S.A.","Bancos Locales de Capital Nacional","Casa Central no operativa","Set-2023","Set-2023","14947162",,"14947162","11623286","11623286",,"224508380","132598298","8867898","16140782","43027790","5,177217","13723363","349248304","-9030280","3,9294","-65,802238","4,279809","33,7","6,82","64,82","29,84","-2,23","3,68","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","330","NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","41921533","0","41921533","25494266","25494266",,"405635241","272412361","4076144","28767575","57446731","6,285022","40386473","1029038253","-2718923","3,924681","-6,732262","4,073856","25,18","5,49","58,47","17,35","-0,41","1,16","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","331","BANCO CETELEM ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Central no operativa","Set-2023","Mar-2023","-1223497",,"-1223497",,,,"334562","41688",,"390","632285","0",,"1099429",,"0",,"-111,284767","-162,6","-107,41","78,23","25","0","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","332","BANCO DE SERVICIOS FINANCIEROS S.A.","Bancos Locales de Capital Extranjero","Casa Central","Set-2023","Set-2023","-3503117",,"-3503117",,,,"13130633","5996421","2379666","6748674","6913472","0","755477","33726649","-1938255","2,24","-256,560425","-10,386792","-32,14","-9,59","59,67","31,18","-8,74","10,91","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","338","BANCO DE SERVICIOS Y TRANSACCIONES S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","4053850",,"4053850","264990","264990",,"44415230","18525750","1397360","3949674","11372573","0,59662","190650","75968117","-535561","0,250961","-280,913192","5,336252","45,53","5,7","68,28","43,45","-1,87","0,3","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","339","RCI BANQUE S.A.","Bancos Sucursales de Entidades Financieras del Ext","Casa Central","Set-2023","Set-2023","924143",,"924143",,,,"26022357","11849309","518801","51521","1517167","0",,"50009158","-79220","0",,"1,847948","9,1","3,48","85,18","48,74","-1,28","0","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","340","BACS BANCO DE CREDITO Y SECURITIZACION S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","59560",,"59560",,,,"34170829","29489180","31802","485996","2706591","0","0","116905483","-26660","0",,"0,050947","-2,19","-0,19","54,69","14,46","-0,09","14,23","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","341","BANCO MASVENTAS S.A.","Bancos Locales de Capital Nacional","Casa Central","Set-2023","Set-2023","-87391","0","-87391","531147","531147",,"4440616","2937267","84439","769886","1496669","11,961111","1083629","12130709","-124795","8,93294","-11,516395","-0,720411","1,07","0,24","67,36","17,18","-1,22","7,45","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","384","WILOBANK S.A.U.","Bancos Locales de Capital Nacional","Casa Central no operativa","Set-2023","Set-2023","-2711253",,"-2711253","613","613",,"3054784","743469","7875","718101","1999860","0,020067","542","13297449","-13722","0,004076","-2531,734317","-20,389272","-75,89","-31,08","41,46","27,83","-0,11","3,85","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
