fecha,inflacion_12m_pct,tna_inflacion_equivalente_pct,tna_ref_piso_pct,tna_ref_techo_pct,cftea_ref_piso_pct,cftea_ref_techo_pct,banco_tna_pct,banco_cftea_estandarizado_pct,banco_brecha_vs_techo_pp,banco_ratio_vs_techo,fintech_tna_pct,fintech_cftea_estandarizado_pct,fintech_brecha_vs_techo_pp,fintech_ratio_vs_techo,volumen_banco_nominal,factor_ipc_jul26,banco_exceso_carga_real_jul26,banco_saldo_real_jul26,stock_fintech_real_jul26,fintech_tasa_observada,fintech_exceso_proxy_real_jul26,fintech_saldo_proxy_real_jul26,ventana
2019-12,53.83240008164216,43.851585384279886,53.851585384279886,64.85158538427989,88.61325125646758,113.85196783372216,71.557895,130.72096896356516,16.869001129843,1.1481660919069905,156.405996,479.68841539577386,365.8364475620517,4.213264158036744,,,,,,,,,
2020-01,52.85572673037537,43.191567189731295,53.191567189731295,64.1915671897313,87.18947453279272,112.25442122827766,69.046818,124.26677467018598,12.012353441908317,1.1070100697190386,160.806879,506.9214683065228,394.6670470782451,4.515826305635308,,,,,,,,,
2020-02,50.27488966623157,41.428698425486665,51.428698425486665,62.428698425486665,83.43481244846704,108.04094904504046,63.99,111.76872136781371,3.727772322773248,1.0345033281891962,149.901032,441.48191023175076,333.4409611867103,4.086246132914885,,,,,,,,,
2020-03,48.35686516869131,40.10050221196133,50.10050221196133,61.10050221196133,80.65168216901401,104.91719593234153,58.644737,99.25451825941872,-5.662677672922811,0.9460271729281201,141.445489,395.2688581876962,290.35166225535465,3.767436354690562,,,,,,,,,
2020-04,45.62585489018598,38.18190642876225,48.18190642876225,59.18190642876225,76.69971495472655,100.48075993101713,53.0935,86.9787688516827,-13.50199107933443,0.865626105051316,143.144955,404.25598493373417,303.77522500271704,4.023217830072815,,,,,,,,,
2020-05,43.4212274786129,36.60889374970999,46.60889374970999,57.60889374970999,73.51888431475817,96.9093030475326,51.382105,83.33651816270088,-13.57278488483172,0.8599434269156341,149.726508,440.4894174316354,343.5801143841028,4.545378034713362,,,,,,,,,
2020-06,42.75874872314191,36.13188007751668,46.13188007751668,57.13188007751668,72.56472620010132,95.83784613920187,50.31619,81.10099001613543,-14.736856123066445,0.8462313510086448,149.717476,440.43809916316104,344.60025302395917,4.5956594070721986,,,,,,,,,
2020-07,42.390430445003105,35.865796422269014,45.865796422269014,56.865796422269014,72.03457798807244,95.24249991664013,50.58,81.65193578035534,-13.590564136284783,0.8573056760565949,138.95399,382.3584895858586,287.1159896692185,4.014578469911156,,,,,,,,,
2020-08,40.672940330053066,34.61664125299926,44.61664125299926,55.61664125299926,69.56564527412831,92.46970271731372,51.1485,82.84442853633192,-9.625274180981805,0.8959088880126831,137.242296,373.6684627091674,281.19875999185365,4.040982632457441,,,,,,,,,
2020-09,36.6207187722531,31.613081828719736,41.613081828719736,52.613081828719736,63.761516778422504,85.94968745285709,51.6,83.79660860821387,-2.1530788446432183,0.9749495442223199,131.518656,345.6419577687642,259.6922703159071,4.021445196741952,,,,,,,,,
