"gap_id","priority","entity_or_id","role","url","expected_extension","status","method","tls_validation","warning","http_status","content_type","effective_url","local_filename","bytes","sha256","magic_ok","retrieved_utc","error"
"1011","P2","credicoop_eeff_fy2023_aq","Memoria y Balance 2023 · Anexo Q separado","https://www.bancocredicoop.coop/api/descargas/descargar.php?descarga=819",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancocredicoop.coop/api/descargas/descargar.php?descarga=819","1011_P2_credicoop_eeff_fy2023_aq.pdf","1990053","bbce92013c7c1d9d4c4837929be3d0841ab76424069d4db5affc3161a8f584b3","True","2026-08-28T19:38:32.4993652Z",""
"1012","P2","hist_bcra_baldethis","BCRA · detalle de balances/resultados históricos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls",".xls","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.ms-excel","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls","1012_P2_hist_bcra_baldethis.xls","1577472","e57b0dd852a71de0398ecf676b03f31d3bf89207faf97300f918e6a5c86295e0","True","2026-08-28T19:38:34.1153248Z",""
"1013","P2","hist_bcra_bef_1s2015","BCRA · BEF / primer semestre 2015","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bef0115e.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bef0115e.pdf","1013_P2_hist_bcra_bef_1s2015.pdf","2473201","ec72d6de73503631c66dd72b07c27d258be88b88d2e80bf2711ab156c705de14","True","2026-08-28T19:38:35.5251621Z",""
"1014","P2","hist_bcra_bef_2s2016","BCRA · BEF / segundo semestre 2016","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bef0216e.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bef0216e.pdf","1014_P2_hist_bcra_bef_2s2016.pdf","1679546","e103d03c575e770f54a694a9b9cb08d76df9559ae8a105db2ab8e7918c251f80","True","2026-08-28T19:38:36.4226450Z",""
"1015","P2","hist_bcra_depuva_mensual","BCRA · depósitos UVA mensuales","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls",".xls","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.ms-excel","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls","1015_P2_hist_bcra_depuva_mensual.xls","308224","1ab759188fa56165a9719a447af9787e7d461316a8fed0de6c69e1bd44f1762b","True","2026-08-28T19:38:37.9439963Z",""
"1016","P2","hist_bcra_din3_ser","BCRA · TXT activos principales / títulos / préstamos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt",".txt","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","text/plain","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt","1016_P2_hist_bcra_din3_ser.txt","22896971","23c615a3e980b1edc989e5b5b533cc4c1d02b833ce36b0d7564a12ede70584a9","True","2026-08-28T19:38:43.1284927Z",""
"1017","P2","hist_bcra_din4_ser","BCRA · TXT pasivos principales / depósitos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt",".txt","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt","1017_P2_hist_bcra_din4_ser.txt","56141985","ba88bb6aeb80500ce1a5d8241628444abdb2a808be6974c56d901ebfd3b50bb8","True","2026-08-28T19:38:52.9503511Z",""
"1018","P2","hist_bcra_entidades_jun2023","Información de Entidades Financieras · junio 2023","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202306e.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202306e.pdf","1018_P2_hist_bcra_entidades_jun2023.pdf","6341673","842c20345ceda1377f1f4727e7033afef16925d7e614deb60e1b1558f7437945","True","2026-08-28T19:38:54.1309654Z",""
"1019","P2","hist_bcra_finuva_mensual","BCRA · préstamos UVA mensuales","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls",".xls","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls","1019_P2_hist_bcra_finuva_mensual.xls","641536","b0120472213dab48c79cf76e4cb2a3292f876465cdb4d300004bf518ed065db6","True","2026-08-28T19:38:55.7234090Z",""
"1020","P2","hist_bcra_ief_1s2025","BCRA IEF · primer semestre 2025","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/ief0125.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0125.pdf","1020_P2_hist_bcra_ief_1s2025.pdf","1224146","09b3091a2c79984347cf0688a0692afae8f8f1e9ab1acbe8ef806b052369cfd0","True","2026-08-28T19:38:56.9658088Z",""
