date,receptivo,emisivo,saldo,ratio
2022-01-01,170.894,417.974,-247.07999999999998,2.4458085128793288
2022-02-01,143.657,468.235,-324.578,3.2593956437904175
2022-03-01,200.86,381.952,-181.09199999999998,1.901583192273225
2022-04-01,287.459,371.446,-83.98700000000002,1.2921703616863622
2022-05-01,264.623,362.647,-98.024,1.370428874285304
2022-06-01,238.15,360.22,-122.07000000000002,1.5125761074952762
2022-07-01,373.088,469.07,-95.98199999999997,1.257263701861223
2022-08-01,339.137,424.819,-85.68200000000002,1.2526471602921534
2022-09-01,363.987,441.002,-77.01499999999999,1.2115872270163495
2022-10-01,394.256,536.811,-142.55500000000006,1.361579785722982
2022-11-01,438.028,450.308,-12.279999999999973,1.028034737505365
2022-12-01,431.1049999999999,457.8,-26.695000000000107,1.0619222695167074
2023-01-01,646.2140000000003,1288.31,-642.0959999999997,1.9936274980114936
2023-02-01,611.167,1151.5449999999994,-540.3779999999994,1.8841740473553044
2023-03-01,498.3190000000003,677.833,-179.51399999999967,1.3602391239346674
2023-04-01,574.7930000000005,531.7610000000001,43.03200000000038,0.9251347876539896
2023-05-01,483.57499999999993,490.526,-6.951000000000079,1.014374192214238
2023-06-01,419.4340000000002,411.6789999999999,7.75500000000028,0.9815107978847679
2023-07-01,618.344,535.849,82.495,0.8665872071209554
2023-08-01,507.318,457.579,49.738999999999976,0.9019569579632499
2023-09-01,548.9819999999999,444.7750000000001,104.20699999999977,0.8101813902823776
2023-10-01,593.6680000000001,524.4329999999998,69.23500000000035,0.8833775780402509
2023-11-01,624.907,462.393,162.51400000000007,0.7399389029087527
2023-12-01,643.169,460.547,182.62199999999996,0.7160590762303533
2024-01-01,841.9259999999999,1112.608,-270.682,1.3215033150181845
2024-02-01,713.3879999999998,1047.11,-333.7220000000001,1.4677987294431645
2024-03-01,631.142,666.8150000000003,-35.67300000000023,1.0565213533562974
2024-04-01,440.07399999999996,710.5560000000002,-270.4820000000002,1.6146284488517846
2024-05-01,350.67600000000004,505.65699999999987,-154.98099999999982,1.4419492637078095
2024-06-01,333.154,500.7210000000003,-167.5670000000003,1.5029715987201122
2024-07-01,508.75099999999986,666.6179999999997,-157.86699999999985,1.31030307557135
2024-08-01,418.4500000000004,513.6910000000001,-95.24099999999976,1.227604253793762
2024-09-01,461.87099999999987,579.9720000000002,-118.10100000000034,1.2557012672369565
2024-10-01,414.0650000000001,654.1089999999999,-240.0439999999998,1.5797254054315137
2024-11-01,505.10599999999977,662.3190000000002,-157.21300000000042,1.3112475401202925
2024-12-01,581.6069999999999,693.6400000000001,-112.03300000000024,1.1926266361993585
2025-01-01,672.4319999999994,1927.26,-1254.8280000000004,2.8661039331858116
2025-02-01,494.44100000000014,1823.802,-1329.3609999999999,3.6886140105695104
2025-03-01,479.6060000000002,1325.61,-846.0039999999997,2.7639562474197557
2025-04-01,418.77100000000024,881.161,-462.3899999999997,2.10415955259557
2025-05-01,315.3899999999999,752.8340000000003,-437.4440000000004,2.3869938805922843
2025-06-01,318.75299999999976,643.7679999999998,-325.01500000000004,2.0196453052990884
2025-07-01,427.202,843.066,-415.86400000000003,1.9734598620792974
2025-08-01,397.5279999999999,798.4290000000002,-400.9010000000003,2.008484936910105
2025-09-01,374.76800000000014,706.4399999999997,-331.67199999999957,1.885006190496519
2025-10-01,389.7650000000001,724.953,-335.1879999999999,1.8599746000795345
2025-11-01,491.37099999999975,763.7890000000002,-272.41800000000046,1.5544039025502128
2025-12-01,535.8450000000003,705.1410000000002,-169.29599999999994,1.3159421101251292
2026-01-01,681.9560000000001,1764.091000000001,-1082.135000000001,2.5868105860202135
2026-02-01,534.223,1629.1799999999996,-1094.9569999999997,3.0496253437235006
2026-03-01,509.6250000000001,1061.777,-552.1519999999999,2.0834476330635265
2026-04-01,463.0719999999999,764.7570000000003,-301.6850000000004,1.6514861619791317
2026-05-01,379.8600000000003,661.8529999999997,-281.9929999999994,1.7423603432843657
2026-06-01,329.1769999999999,501.9180000000002,-172.74100000000027,1.5247663111335248
