periodo,estrato_ipcf,perfil_exclusivo,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q3,alto,combinacion_de_2_o_mas_canales,38.027,772603,2031721,2088
2025-Q3,alto,ninguna_v13_v17,23.196,471272,2031721,2088
2025-Q3,alto,solo_ahorro,6.697,136070,2031721,2088
2025-Q3,alto,solo_cuotas_fiado,29.304,595367,2031721,2088
2025-Q3,alto,solo_prestamos,1.698,34499,2031721,2088
2025-Q3,alto,solo_venta,1.078,21910,2031721,2088
2025-Q4,total,combinacion_de_2_o_mas_canales,36.466,3705383,10161165,15534
2025-Q4,total,ninguna_v13_v17,29.276,2974830,10161165,15534
2025-Q4,total,solo_ahorro,7.161,727656,10161165,15534
2025-Q4,total,solo_cuotas_fiado,21.758,2210836,10161165,15534
2025-Q4,total,solo_prestamos,4.148,421451,10161165,15534
2025-Q4,total,solo_venta,1.191,121009,10161165,15534
2025-Q4,bajo,combinacion_de_2_o_mas_canales,36.042,1482247,4112552,8897
2025-Q4,bajo,ninguna_v13_v17,30.434,1251615,4112552,8897
2025-Q4,bajo,solo_ahorro,8.846,363813,4112552,8897
2025-Q4,bajo,solo_cuotas_fiado,16.969,697868,4112552,8897
2025-Q4,bajo,solo_prestamos,6.257,257337,4112552,8897
2025-Q4,bajo,solo_venta,1.451,59672,4112552,8897
2025-Q4,medio,combinacion_de_2_o_mas_canales,39.469,1592434,4034685,4627
2025-Q4,medio,ninguna_v13_v17,28.283,1141144,4034685,4627
2025-Q4,medio,solo_ahorro,7.037,283905,4034685,4627
2025-Q4,medio,solo_cuotas_fiado,20.973,846191,4034685,4627
2025-Q4,medio,solo_prestamos,3.062,123531,4034685,4627
2025-Q4,medio,solo_venta,1.177,47480,4034685,4627
2025-Q4,alto,combinacion_de_2_o_mas_canales,31.317,630702,2013928,2010
2025-Q4,alto,ninguna_v13_v17,28.902,582071,2013928,2010
2025-Q4,alto,solo_ahorro,3.969,79938,2013928,2010
2025-Q4,alto,solo_cuotas_fiado,33.108,666777,2013928,2010
2025-Q4,alto,solo_prestamos,2.015,40583,2013928,2010
2025-Q4,alto,solo_venta,0.688,13857,2013928,2010
2025-S2,total,combinacion_de_2_o_mas_canales,36.75,7493488,20390667,31394
2025-S2,total,ninguna_v13_v17,29.467,6008477,20390667,31394
2025-S2,total,solo_ahorro,7.546,1538681,20390667,31394
2025-S2,total,solo_cuotas_fiado,21.155,4313545,20390667,31394
2025-S2,total,solo_prestamos,3.964,808376,20390667,31394
2025-S2,total,solo_venta,1.119,228100,20390667,31394
2025-S2,bajo,combinacion_de_2_o_mas_canales,35.984,2967592,8246900,18039
2025-S2,bajo,ninguna_v13_v17,32.269,2661195,8246900,18039
2025-S2,bajo,solo_ahorro,8.605,709672,8246900,18039
2025-S2,bajo,solo_cuotas_fiado,15.557,1282985,8246900,18039
2025-S2,bajo,solo_prestamos,6.124,505030,8246900,18039
2025-S2,bajo,solo_venta,1.46,120426,8246900,18039
2025-S2,medio,combinacion_de_2_o_mas_canales,38.559,3122591,8098118,9257
2025-S2,medio,ninguna_v13_v17,28.327,2293939,8098118,9257
2025-S2,medio,solo_ahorro,7.57,613001,8098118,9257
2025-S2,medio,solo_cuotas_fiado,21.837,1768416,8098118,9257
2025-S2,medio,solo_prestamos,2.819,228264,8098118,9257
2025-S2,medio,solo_venta,0.888,71907,8098118,9257
2025-S2,alto,combinacion_de_2_o_mas_canales,34.687,1403305,4045649,4098
2025-S2,alto,ninguna_v13_v17,26.036,1053343,4045649,4098
2025-S2,alto,solo_ahorro,5.339,216008,4045649,4098
2025-S2,alto,solo_cuotas_fiado,31.198,1262144,4045649,4098
2025-S2,alto,solo_prestamos,1.856,75082,4045649,4098
2025-S2,alto,solo_venta,0.884,35767,4045649,4098
2025,total,combinacion_de_2_o_mas_canales,36.498,14864052,40725781,63547
2025,total,ninguna_v13_v17,29.389,11968778,40725781,63547
2025,total,solo_ahorro,8.156,3321595,40725781,63547
2025,total,solo_cuotas_fiado,21.162,8618328,40725781,63547
2025,total,solo_prestamos,3.733,1520142,40725781,63547
2025,total,solo_venta,1.063,432886,40725781,63547
2025,bajo,combinacion_de_2_o_mas_canales,36.191,5971200,16499066,35979
2025,bajo,ninguna_v13_v17,32.396,5345071,16499066,35979
2025,bajo,solo_ahorro,9.339,1540773,16499066,35979
2025,bajo,solo_cuotas_fiado,15.086,2489085,16499066,35979
2025,bajo,solo_prestamos,5.465,901596,16499066,35979
2025,bajo,solo_venta,1.523,251341,16499066,35979
2025,medio,combinacion_de_2_o_mas_canales,37.741,6097299,16155583,19072
2025,medio,ninguna_v13_v17,28.289,4570331,16155583,19072
2025,medio,solo_ahorro,8.19,1323213,16155583,19072
2025,medio,solo_cuotas_fiado,22.111,3572136,16155583,19072
2025,medio,solo_prestamos,2.919,471542,16155583,19072
2025,medio,solo_venta,0.749,121062,16155583,19072
2025,alto,combinacion_de_2_o_mas_canales,34.636,2795553,8071132,8496
2025,alto,ninguna_v13_v17,25.441,2053376,8071132,8496
2025,alto,solo_ahorro,5.67,457609,8071132,8496
2025,alto,solo_cuotas_fiado,31.682,2557107,8071132,8496
2025,alto,solo_prestamos,1.821,147004,8071132,8496
2025,alto,solo_venta,0.749,60483,8071132,8496
2026-Q1,total,combinacion_de_2_o_mas_canales,36.599,3735923,10207758,15447
2026-Q1,total,ninguna_v13_v17,28.222,2880864,10207758,15447
2026-Q1,total,solo_ahorro,9.19,938088,10207758,15447
2026-Q1,total,solo_cuotas_fiado,21.51,2195692,10207758,15447
2026-Q1,total,solo_prestamos,3.542,361549,10207758,15447
2026-Q1,total,solo_venta,0.937,95642,10207758,15447
2026-Q1,bajo,combinacion_de_2_o_mas_canales,38.359,1579845,4118590,8593
2026-Q1,bajo,ninguna_v13_v17,30.255,1246064,4118590,8593
2026-Q1,bajo,solo_ahorro,10.998,452975,4118590,8593
2026-Q1,bajo,solo_cuotas_fiado,13.761,566762,4118590,8593
2026-Q1,bajo,solo_prestamos,5.409,222755,4118590,8593
2026-Q1,bajo,solo_venta,1.219,50189,4118590,8593
2026-Q1,medio,combinacion_de_2_o_mas_canales,35.795,1453064,4059381,4828
2026-Q1,medio,ninguna_v13_v17,28.493,1156627,4059381,4828
2026-Q1,medio,solo_ahorro,8.822,358124,4059381,4828
2026-Q1,medio,solo_cuotas_fiado,23.342,947525,4059381,4828
2026-Q1,medio,solo_prestamos,2.725,110623,4059381,4828
2026-Q1,medio,solo_venta,0.823,33418,4059381,4828
2026-Q1,alto,combinacion_de_2_o_mas_canales,34.635,703014,2029787,2026
2026-Q1,alto,ninguna_v13_v17,23.558,478173,2029787,2026
2026-Q1,alto,solo_ahorro,6.256,126989,2029787,2026
2026-Q1,alto,solo_cuotas_fiado,33.57,681405,2029787,2026
2026-Q1,alto,solo_prestamos,1.388,28171,2029787,2026
2026-Q1,alto,solo_venta,0.593,12035,2029787,2026
