"cd_periodo","tx_asistencia","nu_valor"
"201808","Hipotecarios / Mortgage-backed Loans","0,766758605848623"
"201808","Personales / Personal Loans","25,8360821701799"
"201808","Prendarios / Pledge-backed Loans","1,74009009011691"
"201808","Tarjetas de crédito / Credit Cards","38,7760908268053"
"201809","Adelantos / Overdrafts","3,57199198186222"
"201809","Hipotecarios / Mortgage-backed Loans","0,765376078334003"
"201809","Personales / Personal Loans","25,6867930696811"
"201809","Prendarios / Pledge-backed Loans","1,7190289673013"
"201809","Tarjetas de crédito / Credit Cards","38,563157825233"
"201810","Adelantos / Overdrafts","3,7029740873346"
"201810","Hipotecarios / Mortgage-backed Loans","0,763053597823162"
"201810","Personales / Personal Loans","25,67897950744"
"201810","Prendarios / Pledge-backed Loans","1,68710348527967"
"201810","Tarjetas de crédito / Credit Cards","38,6255574656978"
"201811","Adelantos / Overdrafts","3,84027692253166"
"201811","Hipotecarios / Mortgage-backed Loans","0,760740859671277"
"201811","Personales / Personal Loans","25,5627029641872"
"201811","Prendarios / Pledge-backed Loans","1,67307362881674"
"201811","Tarjetas de crédito / Credit Cards","38,5977104249017"
"201812","Adelantos / Overdrafts","2,96394091226868"
"201812","Hipotecarios / Mortgage-backed Loans","0,757918839178347"
"201812","Personales / Personal Loans","25,5407872733971"
"201812","Prendarios / Pledge-backed Loans","1,62134767169296"
"201812","Tarjetas de crédito / Credit Cards","38,3824900797298"
"201901","Adelantos / Overdrafts","3,49059253426443"
"201901","Hipotecarios / Mortgage-backed Loans","0,753241280154394"
"201901","Personales / Personal Loans","25,6504741125503"
"201901","Prendarios / Pledge-backed Loans","1,59638485421848"
"201901","Tarjetas de crédito / Credit Cards","38,3999720114382"
"201902","Adelantos / Overdrafts","3,43438048980746"
"201902","Hipotecarios / Mortgage-backed Loans","0,749619840936766"
"201902","Personales / Personal Loans","25,5192582308953"
"201902","Prendarios / Pledge-backed Loans","1,55823858100071"
"201902","Tarjetas de crédito / Credit Cards","38,2790308779747"
"201903","Adelantos / Overdrafts","3,51445189993101"
"201903","Hipotecarios / Mortgage-backed Loans","0,745194868293975"
"201903","Personales / Personal Loans","25,4200921248733"
"201903","Prendarios / Pledge-backed Loans","1,53139575039926"
"201903","Tarjetas de crédito / Credit Cards","38,0225705732862"
"201904","Adelantos / Overdrafts","3,64600958928878"
"201904","Hipotecarios / Mortgage-backed Loans","0,740701054521691"
"201904","Personales / Personal Loans","25,3060632826428"
"201904","Prendarios / Pledge-backed Loans","1,50137659439248"
"201904","Tarjetas de crédito / Credit Cards","38,0327019214314"
"201905","Adelantos / Overdrafts","3,57501695305625"
"201905","Hipotecarios / Mortgage-backed Loans","0,735840683198356"
"201905","Personales / Personal Loans","25,2238580892507"
"201905","Prendarios / Pledge-backed Loans","1,46470629351915"
"201905","Tarjetas de crédito / Credit Cards","38,068274810436"
"201906","Adelantos / Overdrafts","3,15255455489056"
"201906","Hipotecarios / Mortgage-backed Loans","0,731834652641832"
"201906","Personales / Personal Loans","24,7963235155841"
"201906","Prendarios / Pledge-backed Loans","1,42759973691056"
"201906","Tarjetas de crédito / Credit Cards","37,8656542545731"
"201907","Adelantos / Overdrafts","3,28564107657656"
"201907","Hipotecarios / Mortgage-backed Loans","0,727217078033129"
"201907","Personales / Personal Loans","24,6982748047738"
