scope,id,tema,titulo,url,declared_local_path,url_extension,audit_state,local_matches,versions,reference_files,registry_statuses,period_or_role,already_in_master_catalog
data/fuentes/FUENTES.csv,bcra_iif_1s2024_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · primer semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2024/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2024_ahorro_ph.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2024_ahorro_ph.pdf,,,,2023-12/2024-06,True
data/fuentes/FUENTES.csv,bcra_iif_2s2024_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · segundo semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-del-2024/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2024_ahorro_ph.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2024_ahorro_ph.pdf,,,,2024-06/2024-12,True
data/fuentes/FUENTES.csv,bcra_iif_2s2025_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · segundo semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2025_ahorro_ph.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2025_ahorro_ph.pdf,,,,2025-12,True
data/fuentes/FUENTES.csv,indec_estrategias_manutencion_2025,ahorro_hogares,Estrategias de manutención: ¿cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,/data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,,,,2018 y 2023-2025,True
data/fuentes/FUENTES.csv,afip_recaudacion_aporte_2021,aporte_solidario,Informe de recaudación · 4° trimestre 2021,https://contenidos.afip.gob.ar/institucional/estudios/archivos/informe-4-trimestre-2021.pdf,/data/fuentes/grandes_fortunas/aporte_solidario/afip_informe_recaudacion_4t_2021.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/grandes_fortunas/aporte_solidario/afip_informe_recaudacion_4t_2021.pdf,,,,2021,True
data/fuentes/FUENTES.csv,aporte_solidario_informe_final,aporte_solidario,Aporte Solidario y Extraordinario · informe final al 17/12/2021,https://www.argentina.gob.ar/sites/default/files/2021/12/aporte_solidario_final_2021.12.20.pdf,/data/fuentes/grandes_fortunas/aporte_solidario/aporte_solidario_final_2021-12-20.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/grandes_fortunas/aporte_solidario/aporte_solidario_final_2021-12-20.pdf,,,,2021,True
data/fuentes/FUENTES.csv,bcra_ief_1s2018_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2018,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2018_ciclo.pdf,,,,2018-Q1/Q2,True
data/fuentes/FUENTES.csv,bcra_ief_1s2019_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2019,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-2019/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2019_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2019_ciclo.pdf,,,,2019-03,True
data/fuentes/FUENTES.csv,bcra_ief_1s2024_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0124.pdf,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,,,,2024-H1,True
data/fuentes/FUENTES.csv,bcra_ief_2s2023_ciclo,ciclo_ajuste_bancos,IEF · segundo semestre 2023,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-segundo-semestre-de-2023/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_2s2023_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_2s2023_ciclo.pdf,,,,2023-Q3/Q4,True
