path,bytes,mib,over_50_mib,over_100_mib
data/derivados/pendulo_distributivo/AUDITORIA_PENDULO_DISTRIBUTIVO.md,2900,0.002766,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v141.py,55840,0.053253,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v142.py,25486,0.024305,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v143.py,19559,0.018653,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v144.py,30096,0.028702,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v145.py,32106,0.030619,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v146.py,31808,0.030334,False,False
data/derivados/pendulo_distributivo/build_pendulo_poder_v147.py,11429,0.010900,False,False
data/derivados/pendulo_distributivo/build_pendulo_tab.py,53772,0.051281,False,False
data/derivados/pendulo_distributivo/build_pendulo_tab_v137.py,64747,0.061748,False,False
data/derivados/pendulo_distributivo/build_pendulo_tab_v138.py,70950,0.067663,False,False
data/derivados/pendulo_distributivo/cgi_mandatos.csv,2364,0.002254,False,False
data/derivados/pendulo_distributivo/cgi_pendulo.csv,43424,0.041412,False,False
data/derivados/pendulo_distributivo/cgi_raw.json,28352,0.027039,False,False
data/derivados/pendulo_distributivo/extract_cgi_xls.ps1,4323,0.004123,False,False
data/derivados/pendulo_distributivo/TESTS_PENDULO.json,666,0.000635,False,False
data/derivados/pendulo_poder_economico/asset_returns_dec2023.csv,3659,0.003489,False,False
data/derivados/pendulo_poder_economico/asset_returns_with_cer_dec2023.csv,5156,0.004917,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_BOTONERAS_HORIZONTALES_V147.md,1686,0.001608,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_CAPA_ACTIVOS_V145.md,2498,0.002382,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_CAPA_FINANCIERA_V142.md,1881,0.001794,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_CAPA_FISCAL_V144.md,2547,0.002429,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_CAPA_VIVIENDA_V143.md,1666,0.001589,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_CFT_RENTABILIDAD_V146.md,2218,0.002115,False,False
data/derivados/pendulo_poder_economico/AUDITORIA_PENDULO_PODER_ECONOMICO.md,2285,0.002179,False,False
data/derivados/pendulo_poder_economico/bank_roa_snapshot_may2026.csv,585,0.000558,False,False
data/derivados/pendulo_poder_economico/cer_month_end_2023_2026.csv,1182,0.001127,False,False
data/derivados/pendulo_poder_economico/cft_snapshot_jun2023.csv,257,0.000245,False,False
data/derivados/pendulo_poder_economico/double_count_matrix.csv,4037,0.003850,False,False
data/derivados/pendulo_poder_economico/financial_real_monthly_2019_2026.csv,7623,0.007270,False,False
data/derivados/pendulo_poder_economico/fiscal_components_audit_v144.csv,1645,0.001569,False,False
data/derivados/pendulo_poder_economico/fiscal_result_2002_2026.csv,1693,0.001615,False,False
data/derivados/pendulo_poder_economico/housing_tenure_2016_2025.csv,964,0.000919,False,False
data/derivados/pendulo_poder_economico/metric_registry.json,15968,0.015228,False,False
data/derivados/pendulo_poder_economico/TESTS_BOTONERAS_HORIZONTALES_V147.json,504,0.000481,False,False
data/derivados/pendulo_poder_economico/TESTS_CAPA_ACTIVOS_V145.json,635,0.000606,False,False
data/derivados/pendulo_poder_economico/TESTS_CAPA_FINANCIERA_V142.json,458,0.000437,False,False
data/derivados/pendulo_poder_economico/TESTS_CAPA_FISCAL_V144.json,581,0.000554,False,False
data/derivados/pendulo_poder_economico/TESTS_CAPA_VIVIENDA_V143.json,572,0.000546,False,False
data/derivados/pendulo_poder_economico/TESTS_CFT_RENTABILIDAD_V146.json,619,0.000590,False,False
data/derivados/pendulo_poder_economico/TESTS_PENDULO_PODER_ECONOMICO.json,323,0.000308,False,False
data/derivados/plazo_fijo_30_59_monto_mensual.csv,12794,0.012201,False,False
data/derivados/prestamos_personales_monto_operado_mensual.csv,13202,0.012590,False,False
data/derivados/rutas_publico_privado/AUDITORIA_RUTAS_PUBLICO_PRIVADO.md,3083,0.002940,False,False
data/derivados/rutas_publico_privado/build_rutas_tab.py,56682,0.054056,False,False
data/derivados/rutas_publico_privado/rutas_publico_privado_corredores.csv,5267,0.005023,False,False
data/derivados/rutas_publico_privado/rutas_publico_privado_data.json,17752,0.016930,False,False
data/derivados/rutas_publico_privado/TESTS_RUTAS_PUBLICO_PRIVADO.json,363,0.000346,False,False
data/derivados/snapshots_chatgpt_2026-08-25/index_credito_cftea_referencia.html,8002223,7.631515,False,False
data/derivados/snapshots_chatgpt_2026-08-25/index_matchup_credito_mora_auditoria_causal.html,7946673,7.578538,False,False
data/derivados/snapshots_chatgpt_2026-08-25/index_supermercados_historico.html,8033965,7.661786,False,False
data/derivados/supermercados/supermercados_estructura_2020_2026.csv,861,0.000821,False,False
data/derivados/supermercados/supermercados_medios_pago_2020_2026.csv,390,0.000372,False,False
data/derivados/supermercados/supermercados_moderno_2017_2026.csv,6172,0.005886,False,False
data/derivados/supermercados/supermercados_rubros_composicion_2023_2026.csv,287,0.000274,False,False
data/derivados/supermercados/supermercados_territorio_1S2026_referencias.csv,1029,0.000981,False,False
data/derivados/tasas/brecha_costo_credito_vs_cftea_referencia_2019_2026.csv,27903,0.026610,False,False
