periodo,estrato_ipcf,combinacion_exacta,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-S1,medio,ahorro+prestamo_banco+venta,0.232,18659,8057465,9815
2025-S1,medio,prestamo_familia+cuotas_fiado+venta,0.231,18614,8057465,9815
2025-S1,medio,prestamo_banco+cuotas_fiado+venta,0.215,17288,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+prestamo_banco+venta,0.155,12475,8057465,9815
2025-S1,medio,prestamo_banco+venta,0.151,12154,8057465,9815
2025-S1,medio,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.139,11193,8057465,9815
2025-S1,medio,prestamo_familia+venta,0.102,8182,8057465,9815
2025-S1,medio,prestamo_familia+prestamo_banco+venta,0.039,3127,8057465,9815
2025-S1,alto,cuotas_fiado,32.169,1294963,4025483,4398
2025-S1,alto,ninguna,24.843,1000033,4025483,4398
2025-S1,alto,ahorro+cuotas_fiado,16.172,651017,4025483,4398
2025-S1,alto,ahorro,6.002,241601,4025483,4398
2025-S1,alto,ahorro+prestamo_banco+cuotas_fiado,4.276,172144,4025483,4398
2025-S1,alto,prestamo_banco+cuotas_fiado,3.029,121916,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+cuotas_fiado,1.681,67674,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.596,64253,4025483,4398
2025-S1,alto,prestamo_banco,1.3,52315,4025483,4398
2025-S1,alto,prestamo_familia+cuotas_fiado,1.078,43396,4025483,4398
2025-S1,alto,ahorro+cuotas_fiado+venta,0.968,38979,4025483,4398
2025-S1,alto,ahorro+prestamo_familia,0.913,36766,4025483,4398
2025-S1,alto,ahorro+prestamo_banco,0.731,29432,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.67,26962,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+cuotas_fiado+venta,0.669,26941,4025483,4398
2025-S1,alto,ahorro+prestamo_banco+cuotas_fiado+venta,0.651,26223,4025483,4398
2025-S1,alto,venta,0.614,24716,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+prestamo_banco,0.466,18768,4025483,4398
2025-S1,alto,prestamo_familia,0.455,18333,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+venta,0.388,15638,4025483,4398
2025-S1,alto,cuotas_fiado+venta,0.34,13705,4025483,4398
2025-S1,alto,prestamo_familia+prestamo_banco+cuotas_fiado,0.335,13485,4025483,4398
2025-S1,alto,ahorro+venta,0.239,9624,4025483,4398
2025-S1,alto,prestamo_banco+cuotas_fiado+venta,0.164,6596,4025483,4398
2025-S1,alto,ahorro+prestamo_banco+venta,0.052,2075,4025483,4398
2025-S1,alto,ahorro+prestamo_familia+prestamo_banco+venta,0.051,2072,4025483,4398
2025-S1,alto,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.043,1728,4025483,4398
2025-S1,alto,prestamo_familia+cuotas_fiado+venta,0.038,1526,4025483,4398
2025-S1,alto,prestamo_familia+prestamo_banco,0.032,1274,4025483,4398
2025-S1,alto,prestamo_familia+venta,0.017,668,4025483,4398
2025-S1,alto,prestamo_familia+prestamo_banco+venta,0.016,660,4025483,4398
2025-Q3,total,ninguna,29.656,3033647,10229502,15860
2025-Q3,total,cuotas_fiado,20.555,2102709,10229502,15860
2025-Q3,total,ahorro+cuotas_fiado,11.065,1131936,10229502,15860
2025-Q3,total,ahorro,7.928,811025,10229502,15860
2025-Q3,total,prestamo_banco+cuotas_fiado,3.276,335114,10229502,15860
2025-Q3,total,ahorro+prestamo_banco+cuotas_fiado,3.174,324712,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+cuotas_fiado,2.42,247573,10229502,15860
2025-Q3,total,ahorro+prestamo_familia,2.288,234064,10229502,15860
2025-Q3,total,prestamo_familia,2.02,206647,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.892,193561,10229502,15860
2025-Q3,total,prestamo_familia+cuotas_fiado,1.604,164065,10229502,15860
2025-Q3,total,prestamo_banco,1.385,141651,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.364,139516,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.333,136377,10229502,15860
2025-Q3,total,ahorro+cuotas_fiado+venta,1.197,122403,10229502,15860
2025-Q3,total,venta,1.047,107091,10229502,15860
2025-Q3,total,ahorro+venta,1.022,104514,10229502,15860
2025-Q3,total,ahorro+prestamo_banco,0.891,91141,10229502,15860
2025-Q3,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.851,87041,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+prestamo_banco,0.759,77684,10229502,15860
2025-Q3,total,cuotas_fiado+venta,0.698,71364,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+venta,0.56,57285,10229502,15860
2025-Q3,total,prestamo_familia+venta,0.455,46539,10229502,15860
2025-Q3,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.448,45853,10229502,15860
2025-Q3,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.378,38649,10229502,15860
2025-Q3,total,prestamo_familia+prestamo_banco,0.378,38627,10229502,15860
2025-Q3,total,prestamo_banco+cuotas_fiado+venta,0.368,37655,10229502,15860
2025-Q3,total,prestamo_familia+cuotas_fiado+venta,0.337,34514,10229502,15860
2025-Q3,total,ahorro+prestamo_banco+venta,0.311,31832,10229502,15860
2025-Q3,total,ahorro+prestamo_familia+prestamo_banco+venta,0.2,20506,10229502,15860
2025-Q3,total,prestamo_banco+venta,0.093,9505,10229502,15860
2025-Q3,total,prestamo_familia+prestamo_banco+venta,0.046,4702,10229502,15860
2025-Q3,bajo,ninguna,34.094,1409580,4134348,9142
2025-Q3,bajo,cuotas_fiado,14.153,585117,4134348,9142
2025-Q3,bajo,ahorro,8.366,345859,4134348,9142
2025-Q3,bajo,ahorro+cuotas_fiado,6.24,257984,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia,3.804,157266,4134348,9142
2025-Q3,bajo,prestamo_familia,3.563,147302,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,2.521,104240,4134348,9142
2025-Q3,bajo,prestamo_banco+cuotas_fiado,2.39,98799,4134348,9142
2025-Q3,bajo,ahorro+prestamo_banco+cuotas_fiado,2.361,97606,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,2.338,96646,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+cuotas_fiado,2.254,93175,4134348,9142
2025-Q3,bajo,prestamo_familia+cuotas_fiado,1.835,75853,4134348,9142
2025-Q3,bajo,prestamo_banco,1.771,73203,4134348,9142
2025-Q3,bajo,ahorro+cuotas_fiado+venta,1.486,61437,4134348,9142
2025-Q3,bajo,venta,1.469,60754,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+venta,1.201,49637,4134348,9142
2025-Q3,bajo,ahorro+venta,1.2,49613,4134348,9142
2025-Q3,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,1.162,48055,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+prestamo_banco,1.104,45654,4134348,9142
2025-Q3,bajo,prestamo_familia+venta,0.975,40302,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.851,35192,4134348,9142
2025-Q3,bajo,cuotas_fiado+venta,0.839,34683,4134348,9142
2025-Q3,bajo,ahorro+prestamo_banco,0.793,32786,4134348,9142
2025-Q3,bajo,prestamo_familia+prestamo_banco,0.658,27188,4134348,9142
2025-Q3,bajo,prestamo_familia+cuotas_fiado+venta,0.548,22646,4134348,9142
2025-Q3,bajo,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.458,18929,4134348,9142
2025-Q3,bajo,prestamo_banco+cuotas_fiado+venta,0.43,17786,4134348,9142
2025-Q3,bajo,ahorro+prestamo_banco+cuotas_fiado+venta,0.338,13986,4134348,9142
2025-Q3,bajo,ahorro+prestamo_familia+prestamo_banco+venta,0.334,13822,4134348,9142
2025-Q3,bajo,ahorro+prestamo_banco+venta,0.293,12111,4134348,9142
2025-Q3,bajo,prestamo_banco+venta,0.118,4883,4134348,9142
2025-Q3,bajo,prestamo_familia+prestamo_banco+venta,0.055,2254,4134348,9142
2025-Q3,medio,ninguna,28.37,1152795,4063433,4630
2025-Q3,medio,cuotas_fiado,22.696,922225,4063433,4630
2025-Q3,medio,ahorro+cuotas_fiado,12.201,495774,4063433,4630
2025-Q3,medio,ahorro,8.099,329096,4063433,4630
2025-Q3,medio,prestamo_banco+cuotas_fiado,4.21,171065,4063433,4630
2025-Q3,medio,ahorro+prestamo_banco+cuotas_fiado,3.498,142134,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+cuotas_fiado,2.664,108232,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.855,75390,4063433,4630
2025-Q3,medio,prestamo_familia+cuotas_fiado,1.535,62359,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia,1.528,62098,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.445,58704,4063433,4630
2025-Q3,medio,prestamo_banco,1.272,51686,4063433,4630
2025-Q3,medio,ahorro+prestamo_banco,1.212,49241,4063433,4630
2025-Q3,medio,prestamo_familia,1.06,43066,4063433,4630
2025-Q3,medio,ahorro+venta,1.047,42558,4063433,4630
2025-Q3,medio,ahorro+cuotas_fiado+venta,0.973,39524,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+cuotas_fiado+venta,0.859,34906,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+prestamo_banco,0.741,30121,4063433,4630
2025-Q3,medio,cuotas_fiado+venta,0.691,28098,4063433,4630
2025-Q3,medio,prestamo_familia+prestamo_banco+cuotas_fiado,0.632,25693,4063433,4630
2025-Q3,medio,ahorro+prestamo_banco+cuotas_fiado+venta,0.608,24694,4063433,4630
2025-Q3,medio,venta,0.601,24427,4063433,4630
2025-Q3,medio,ahorro+prestamo_banco+venta,0.44,17884,4063433,4630
2025-Q3,medio,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.436,17699,4063433,4630
2025-Q3,medio,prestamo_banco+cuotas_fiado+venta,0.344,13984,4063433,4630
2025-Q3,medio,prestamo_familia+prestamo_banco,0.246,9981,4063433,4630
2025-Q3,medio,prestamo_familia+cuotas_fiado+venta,0.2,8117,4063433,4630
2025-Q3,medio,prestamo_familia+venta,0.153,6237,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+venta,0.143,5799,4063433,4630
2025-Q3,medio,prestamo_banco+venta,0.095,3873,4063433,4630
2025-Q3,medio,ahorro+prestamo_familia+prestamo_banco+venta,0.087,3525,4063433,4630
2025-Q3,medio,prestamo_familia+prestamo_banco+venta,0.06,2448,4063433,4630
2025-Q3,alto,cuotas_fiado,29.304,595367,2031721,2088
2025-Q3,alto,ninguna,23.196,471272,2031721,2088
2025-Q3,alto,ahorro+cuotas_fiado,18.614,378178,2031721,2088
2025-Q3,alto,ahorro,6.697,136070,2031721,2088
2025-Q3,alto,ahorro+prestamo_banco+cuotas_fiado,4.182,84972,2031721,2088
2025-Q3,alto,prestamo_banco+cuotas_fiado,3.212,65250,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+cuotas_fiado,2.272,46166,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.507,30617,2031721,2088
2025-Q3,alto,prestamo_familia+cuotas_fiado,1.272,25853,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.27,25795,2031721,2088
2025-Q3,alto,venta,1.078,21910,2031721,2088
2025-Q3,alto,ahorro+cuotas_fiado+venta,1.055,21442,2031721,2088
2025-Q3,alto,prestamo_banco,0.825,16762,2031721,2088
2025-Q3,alto,prestamo_familia,0.801,16279,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia,0.724,14700,2031721,2088
2025-Q3,alto,prestamo_familia+prestamo_banco+cuotas_fiado,0.654,13293,2031721,2088
2025-Q3,alto,ahorro+venta,0.608,12343,2031721,2088
2025-Q3,alto,ahorro+prestamo_banco,0.449,9114,2031721,2088
2025-Q3,alto,cuotas_fiado+venta,0.422,8583,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+cuotas_fiado+venta,0.392,7964,2031721,2088
2025-Q3,alto,ahorro+prestamo_banco+cuotas_fiado+venta,0.353,7173,2031721,2088
2025-Q3,alto,prestamo_banco+cuotas_fiado+venta,0.29,5885,2031721,2088
2025-Q3,alto,prestamo_familia+cuotas_fiado+venta,0.185,3751,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+prestamo_banco+venta,0.155,3159,2031721,2088
2025-Q3,alto,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.099,2021,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+prestamo_banco,0.094,1909,2031721,2088
2025-Q3,alto,ahorro+prestamo_familia+venta,0.091,1849,2031721,2088
2025-Q3,alto,ahorro+prestamo_banco+venta,0.09,1837,2031721,2088
2025-Q3,alto,prestamo_familia+prestamo_banco,0.072,1458,2031721,2088
2025-Q3,alto,prestamo_banco+venta,0.037,749,2031721,2088
2025-Q4,total,ninguna,29.276,2974830,10161165,15534
2025-Q4,total,cuotas_fiado,21.758,2210836,10161165,15534
2025-Q4,total,ahorro+cuotas_fiado,9.533,968634,10161165,15534
2025-Q4,total,ahorro,7.161,727656,10161165,15534
2025-Q4,total,prestamo_banco+cuotas_fiado,3.383,343722,10161165,15534
2025-Q4,total,ahorro+prestamo_banco+cuotas_fiado,2.922,296889,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+cuotas_fiado,2.889,293579,10161165,15534
2025-Q4,total,ahorro+prestamo_familia,2.099,213234,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,2.066,209938,10161165,15534
2025-Q4,total,prestamo_banco,1.849,187858,10161165,15534
2025-Q4,total,prestamo_familia,1.793,182164,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.713,174018,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.609,163516,10161165,15534
2025-Q4,total,prestamo_familia+cuotas_fiado,1.591,161671,10161165,15534
2025-Q4,total,venta,1.191,121009,10161165,15534
2025-Q4,total,ahorro+cuotas_fiado+venta,1.041,105805,10161165,15534
2025-Q4,total,cuotas_fiado+venta,0.995,101078,10161165,15534
2025-Q4,total,ahorro+prestamo_banco,0.912,92692,10161165,15534
2025-Q4,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.713,72407,10161165,15534
2025-Q4,total,ahorro+venta,0.7,71094,10161165,15534
2025-Q4,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.672,68325,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+prestamo_banco,0.569,57823,10161165,15534
2025-Q4,total,prestamo_banco+cuotas_fiado+venta,0.56,56930,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+venta,0.559,56758,10161165,15534
2025-Q4,total,prestamo_familia+prestamo_banco,0.506,51429,10161165,15534
2025-Q4,total,prestamo_familia+cuotas_fiado+venta,0.389,39559,10161165,15534
2025-Q4,total,prestamo_familia+venta,0.377,38262,10161165,15534
2025-Q4,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.336,34188,10161165,15534
2025-Q4,total,ahorro+prestamo_familia+prestamo_banco+venta,0.322,32696,10161165,15534
2025-Q4,total,ahorro+prestamo_banco+venta,0.246,25046,10161165,15534
2025-Q4,total,prestamo_banco+venta,0.136,13790,10161165,15534
2025-Q4,total,prestamo_familia+prestamo_banco+venta,0.135,13729,10161165,15534
2025-Q4,bajo,ninguna,30.434,1251615,4112552,8897
2025-Q4,bajo,cuotas_fiado,16.969,697868,4112552,8897
2025-Q4,bajo,ahorro,8.846,363813,4112552,8897
2025-Q4,bajo,ahorro+cuotas_fiado,5.195,213628,4112552,8897
2025-Q4,bajo,prestamo_familia,3.441,141532,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia,3.183,130904,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+cuotas_fiado,2.961,121765,4112552,8897
2025-Q4,bajo,prestamo_banco+cuotas_fiado,2.853,117311,4112552,8897
2025-Q4,bajo,ahorro+prestamo_banco+cuotas_fiado,2.512,103303,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,2.305,94814,4112552,8897
2025-Q4,bajo,prestamo_banco,2.03,83471,4112552,8897
2025-Q4,bajo,prestamo_familia+cuotas_fiado,1.966,80864,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.868,76812,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.844,75846,4112552,8897
2025-Q4,bajo,venta,1.451,59672,4112552,8897
2025-Q4,bajo,ahorro+prestamo_banco,1.227,50446,4112552,8897
2025-Q4,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,1.074,44162,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+venta,0.95,39086,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+prestamo_banco,0.914,37578,4112552,8897
2025-Q4,bajo,ahorro+venta,0.911,37470,4112552,8897
2025-Q4,bajo,prestamo_familia+venta,0.846,34774,4112552,8897
2025-Q4,bajo,cuotas_fiado+venta,0.816,33558,4112552,8897
2025-Q4,bajo,prestamo_familia+prestamo_banco,0.786,32334,4112552,8897
2025-Q4,bajo,prestamo_banco+cuotas_fiado+venta,0.782,32153,4112552,8897
2025-Q4,bajo,ahorro+cuotas_fiado+venta,0.677,27833,4112552,8897
2025-Q4,bajo,prestamo_familia+cuotas_fiado+venta,0.65,26735,4112552,8897
2025-Q4,bajo,ahorro+prestamo_banco+cuotas_fiado+venta,0.645,26513,4112552,8897
2025-Q4,bajo,ahorro+prestamo_familia+prestamo_banco+venta,0.58,23857,4112552,8897
2025-Q4,bajo,ahorro+prestamo_banco+venta,0.467,19190,4112552,8897
2025-Q4,bajo,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.32,13147,4112552,8897
2025-Q4,bajo,prestamo_familia+prestamo_banco+venta,0.265,10886,4112552,8897
2025-Q4,bajo,prestamo_banco+venta,0.234,9612,4112552,8897
2025-Q4,medio,ninguna,28.283,1141144,4034685,4627
2025-Q4,medio,cuotas_fiado,20.973,846191,4034685,4627
2025-Q4,medio,ahorro+cuotas_fiado,11.889,479681,4034685,4627
2025-Q4,medio,ahorro,7.037,283905,4034685,4627
2025-Q4,medio,prestamo_banco+cuotas_fiado,3.945,159187,4034685,4627
2025-Q4,medio,ahorro+prestamo_banco+cuotas_fiado,3.318,133870,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+cuotas_fiado,3.096,124922,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,2.59,104503,4034685,4627
2025-Q4,medio,prestamo_banco,1.924,77630,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+cuotas_fiado+venta,1.8,72642,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia,1.645,66369,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.56,62922,4034685,4627
2025-Q4,medio,prestamo_familia+cuotas_fiado,1.515,61113,4034685,4627
2025-Q4,medio,cuotas_fiado+venta,1.238,49957,4034685,4627
2025-Q4,medio,ahorro+cuotas_fiado+venta,1.205,48627,4034685,4627
2025-Q4,medio,venta,1.177,47480,4034685,4627
2025-Q4,medio,prestamo_familia,0.862,34794,4034685,4627
2025-Q4,medio,ahorro+prestamo_banco,0.849,34249,4034685,4627
2025-Q4,medio,ahorro+prestamo_banco+cuotas_fiado+venta,0.796,32096,4034685,4627
2025-Q4,medio,prestamo_familia+prestamo_banco+cuotas_fiado,0.663,26744,4034685,4627
2025-Q4,medio,ahorro+venta,0.61,24625,4034685,4627
2025-Q4,medio,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.511,20604,4034685,4627
2025-Q4,medio,prestamo_banco+cuotas_fiado+venta,0.493,19889,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+venta,0.415,16747,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+prestamo_banco,0.404,16284,4034685,4627
2025-Q4,medio,prestamo_familia+cuotas_fiado+venta,0.318,12824,4034685,4627
2025-Q4,medio,prestamo_familia+prestamo_banco,0.275,11107,4034685,4627
2025-Q4,medio,ahorro+prestamo_familia+prestamo_banco+venta,0.219,8839,4034685,4627
2025-Q4,medio,ahorro+prestamo_banco+venta,0.137,5519,4034685,4627
2025-Q4,medio,prestamo_banco+venta,0.096,3890,4034685,4627
2025-Q4,medio,prestamo_familia+venta,0.086,3488,4034685,4627
2025-Q4,medio,prestamo_familia+prestamo_banco+venta,0.07,2843,4034685,4627
2025-Q4,alto,cuotas_fiado,33.108,666777,2013928,2010
2025-Q4,alto,ninguna,28.902,582071,2013928,2010
2025-Q4,alto,ahorro+cuotas_fiado,13.671,275325,2013928,2010
2025-Q4,alto,ahorro,3.969,79938,2013928,2010
2025-Q4,alto,prestamo_banco+cuotas_fiado,3.338,67224,2013928,2010
2025-Q4,alto,ahorro+prestamo_banco+cuotas_fiado,2.965,59716,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+cuotas_fiado,2.328,46892,2013928,2010
2025-Q4,alto,ahorro+cuotas_fiado+venta,1.457,29345,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.421,28623,2013928,2010
2025-Q4,alto,prestamo_banco,1.329,26757,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.229,24748,2013928,2010
2025-Q4,alto,prestamo_familia+cuotas_fiado,0.978,19694,2013928,2010
2025-Q4,alto,cuotas_fiado+venta,0.872,17563,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia,0.793,15961,2013928,2010
2025-Q4,alto,venta,0.688,13857,2013928,2010
2025-Q4,alto,ahorro+prestamo_banco+cuotas_fiado+venta,0.482,9716,2013928,2010
2025-Q4,alto,ahorro+venta,0.447,8999,2013928,2010
2025-Q4,alto,ahorro+prestamo_banco,0.397,7997,2013928,2010
2025-Q4,alto,prestamo_familia+prestamo_banco,0.397,7988,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+cuotas_fiado+venta,0.326,6562,2013928,2010
2025-Q4,alto,prestamo_familia,0.29,5838,2013928,2010
2025-Q4,alto,prestamo_banco+cuotas_fiado+venta,0.243,4888,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+prestamo_banco,0.197,3961,2013928,2010
2025-Q4,alto,prestamo_familia+prestamo_banco+cuotas_fiado,0.075,1501,2013928,2010
2025-Q4,alto,ahorro+prestamo_familia+venta,0.046,925,2013928,2010
2025-Q4,alto,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.022,437,2013928,2010
2025-Q4,alto,ahorro+prestamo_banco+venta,0.017,337,2013928,2010
2025-Q4,alto,prestamo_banco+venta,0.014,288,2013928,2010
2025-S2,total,ninguna,29.467,6008477,20390667,31394
2025-S2,total,cuotas_fiado,21.155,4313545,20390667,31394
2025-S2,total,ahorro+cuotas_fiado,10.302,2100570,20390667,31394
2025-S2,total,ahorro,7.546,1538681,20390667,31394
2025-S2,total,prestamo_banco+cuotas_fiado,3.329,678836,20390667,31394
2025-S2,total,ahorro+prestamo_banco+cuotas_fiado,3.048,621601,20390667,31394
2025-S2,total,ahorro+prestamo_familia+cuotas_fiado,2.654,541152,20390667,31394
2025-S2,total,ahorro+prestamo_familia,2.194,447298,20390667,31394
2025-S2,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.979,403499,20390667,31394
2025-S2,total,prestamo_familia,1.907,388811,20390667,31394
2025-S2,total,prestamo_banco,1.616,329509,20390667,31394
2025-S2,total,prestamo_familia+cuotas_fiado,1.597,325736,20390667,31394
2025-S2,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.538,313534,20390667,31394
2025-S2,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.471,299893,20390667,31394
2025-S2,total,ahorro+cuotas_fiado+venta,1.119,228208,20390667,31394
2025-S2,total,venta,1.119,228100,20390667,31394
2025-S2,total,ahorro+prestamo_banco,0.902,183833,20390667,31394
2025-S2,total,ahorro+venta,0.861,175608,20390667,31394
2025-S2,total,cuotas_fiado+venta,0.846,172442,20390667,31394
2025-S2,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.782,159448,20390667,31394
2025-S2,total,ahorro+prestamo_familia+prestamo_banco,0.665,135507,20390667,31394
2025-S2,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.56,114178,20390667,31394
2025-S2,total,ahorro+prestamo_familia+venta,0.559,114043,20390667,31394
2025-S2,total,prestamo_banco+cuotas_fiado+venta,0.464,94585,20390667,31394
2025-S2,total,prestamo_familia+prestamo_banco,0.442,90056,20390667,31394
2025-S2,total,prestamo_familia+venta,0.416,84801,20390667,31394
2025-S2,total,prestamo_familia+cuotas_fiado+venta,0.363,74073,20390667,31394
2025-S2,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.357,72837,20390667,31394
2025-S2,total,ahorro+prestamo_banco+venta,0.279,56878,20390667,31394
2025-S2,total,ahorro+prestamo_familia+prestamo_banco+venta,0.261,53202,20390667,31394
2025-S2,total,prestamo_banco+venta,0.114,23295,20390667,31394
2025-S2,total,prestamo_familia+prestamo_banco+venta,0.09,18431,20390667,31394
2025-S2,bajo,ninguna,32.269,2661195,8246900,18039
2025-S2,bajo,cuotas_fiado,15.557,1282985,8246900,18039
2025-S2,bajo,ahorro,8.605,709672,8246900,18039
2025-S2,bajo,ahorro+cuotas_fiado,5.719,471612,8246900,18039
2025-S2,bajo,prestamo_familia,3.502,288834,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia,3.494,288170,8246900,18039
2025-S2,bajo,prestamo_banco+cuotas_fiado,2.62,216110,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+cuotas_fiado,2.606,214940,8246900,18039
2025-S2,bajo,ahorro+prestamo_banco+cuotas_fiado,2.436,200909,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,2.322,191460,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,2.195,181052,8246900,18039
2025-S2,bajo,prestamo_familia+cuotas_fiado,1.9,156717,8246900,18039
2025-S2,bajo,prestamo_banco,1.9,156674,8246900,18039
2025-S2,bajo,venta,1.46,120426,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.346,111038,8246900,18039
2025-S2,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,1.118,92217,8246900,18039
2025-S2,bajo,ahorro+cuotas_fiado+venta,1.082,89270,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+venta,1.076,88723,8246900,18039
2025-S2,bajo,ahorro+venta,1.056,87083,8246900,18039
2025-S2,bajo,ahorro+prestamo_banco,1.009,83232,8246900,18039
2025-S2,bajo,ahorro+prestamo_familia+prestamo_banco,1.009,83232,8246900,18039
2025-S2,bajo,prestamo_familia+venta,0.91,75076,8246900,18039
2025-S2,bajo,cuotas_fiado+venta,0.827,68241,8246900,18039
2025-S2,bajo,prestamo_familia+prestamo_banco,0.722,59522,8246900,18039
