periodo,estrato_ipcf,metrica,porcentaje_ponderado,hogares_expandidos_numerador,hogares_expandidos_denominador,n_muestral
2025-Q2,alto,cualquier_estrategia_v13_v17,73.397,1467306,1999134,2249
2025-Q2,alto,sin_estrategias_v13_v17,26.603,531828,1999134,2249
2025-Q2,alto,solo_recursos_monetarios_corrientes_proxy,26.248,524731,1999134,2249
2025-Q2,alto,solo_ingreso_laboral_proxy,15.215,304161,1999134,2249
2025-S1,total,gasto_ahorros,37.355,7596208,20335114,32153
2025-S1,total,prestamo_familia_amigos,16.068,3267410,20335114,32153
2025-S1,total,prestamo_banco_financiera,14.219,2891524,20335114,32153
2025-S1,total,cuotas_o_fiado,50.874,10345295,20335114,32153
2025-S1,total,venta_pertenencias,9.334,1898098,20335114,32153
2025-S1,total,cualquier_prestamo,25.469,5179123,20335114,32153
2025-S1,total,ahorro_o_venta,40.806,8297935,20335114,32153
2025-S1,total,cualquier_estrategia_v13_v17,70.69,14374813,20335114,32153
2025-S1,total,sin_estrategias_v13_v17,29.31,5960301,20335114,32153
2025-S1,total,solo_recursos_monetarios_corrientes_proxy,25.811,5248746,20335114,32153
2025-S1,total,solo_ingreso_laboral_proxy,9.608,1953890,20335114,32153
2025-S1,bajo,gasto_ahorros,37.122,3063391,8252166,17940
2025-S1,bajo,prestamo_familia_amigos,22.576,1863009,8252166,17940
2025-S1,bajo,prestamo_banco_financiera,13.989,1154387,8252166,17940
2025-S1,bajo,cuotas_o_fiado,41.375,3414321,8252166,17940
2025-S1,bajo,venta_pertenencias,13.055,1077281,8252166,17940
2025-S1,bajo,cualquier_prestamo,30.51,2517737,8252166,17940
2025-S1,bajo,ahorro_o_venta,42.838,3535098,8252166,17940
2025-S1,bajo,cualquier_estrategia_v13_v17,67.477,5568290,8252166,17940
2025-S1,bajo,sin_estrategias_v13_v17,32.523,2683876,8252166,17940
2025-S1,bajo,solo_recursos_monetarios_corrientes_proxy,26.641,2198497,8252166,17940
2025-S1,bajo,solo_ingreso_laboral_proxy,7.934,654720,8252166,17940
2025-S1,medio,gasto_ahorros,38.507,3102648,8057465,9815
2025-S1,medio,prestamo_familia_amigos,13.208,1064257,8057465,9815
2025-S1,medio,prestamo_banco_financiera,14.859,1197234,8057465,9815
2025-S1,medio,cuotas_o_fiado,54.105,4359466,8057465,9815
2025-S1,medio,venta_pertenencias,7.728,622704,8057465,9815
2025-S1,medio,cualquier_prestamo,23.711,1910541,8057465,9815
2025-S1,medio,ahorro_o_venta,40.746,3283069,8057465,9815
2025-S1,medio,cualquier_estrategia_v13_v17,71.748,5781073,8057465,9815
2025-S1,medio,sin_estrategias_v13_v17,28.252,2276392,8057465,9815
2025-S1,medio,solo_recursos_monetarios_corrientes_proxy,25.764,2075890,8057465,9815
2025-S1,medio,solo_ingreso_laboral_proxy,9.325,751363,8057465,9815
2025-S1,alto,gasto_ahorros,35.528,1430169,4025483,4398
2025-S1,alto,prestamo_familia_amigos,8.45,340144,4025483,4398
2025-S1,alto,prestamo_banco_financiera,13.412,539903,4025483,4398
2025-S1,alto,cuotas_o_fiado,63.881,2571508,4025483,4398
2025-S1,alto,venta_pertenencias,4.921,198113,4025483,4398
2025-S1,alto,cualquier_prestamo,18.652,750845,4025483,4398
2025-S1,alto,ahorro_o_venta,36.76,1479768,4025483,4398
2025-S1,alto,cualquier_estrategia_v13_v17,75.157,3025450,4025483,4398
2025-S1,alto,sin_estrategias_v13_v17,24.843,1000033,4025483,4398
2025-S1,alto,solo_recursos_monetarios_corrientes_proxy,24.205,974359,4025483,4398
2025-S1,alto,solo_ingreso_laboral_proxy,13.608,547807,4025483,4398
2025-Q3,total,gasto_ahorros,36.854,3769982,10229502,15860
2025-Q3,total,prestamo_familia_amigos,16.886,1727350,10229502,15860
2025-Q3,total,prestamo_banco_financiera,15.784,1614610,10229502,15860
2025-Q3,total,cuotas_o_fiado,50.961,5213042,10229502,15860
2025-Q3,total,venta_pertenencias,9.857,1008305,10229502,15860
2025-Q3,total,cualquier_prestamo,26.832,2744813,10229502,15860
2025-Q3,total,ahorro_o_venta,40.276,4120001,10229502,15860
2025-Q3,total,cualquier_estrategia_v13_v17,70.344,7195855,10229502,15860
2025-Q3,total,sin_estrategias_v13_v17,29.656,3033647,10229502,15860
2025-Q3,total,solo_recursos_monetarios_corrientes_proxy,25.264,2584403,10229502,15860
2025-Q3,total,solo_ingreso_laboral_proxy,9.268,948050,10229502,15860
2025-Q3,bajo,gasto_ahorros,35.484,1467014,4134348,9142
2025-Q3,bajo,prestamo_familia_amigos,23.659,978161,4134348,9142
2025-Q3,bajo,prestamo_banco_financiera,15.637,646494,4134348,9142
2025-Q3,bajo,cuotas_o_fiado,40.203,1662134,4134348,9142
2025-Q3,bajo,venta_pertenencias,12.933,534681,4134348,9142
2025-Q3,bajo,cualquier_prestamo,32.153,1329321,4134348,9142
2025-Q3,bajo,ahorro_o_venta,40.375,1669251,4134348,9142
2025-Q3,bajo,cualquier_estrategia_v13_v17,65.906,2724768,4134348,9142
2025-Q3,bajo,sin_estrategias_v13_v17,34.094,1409580,4134348,9142
2025-Q3,bajo,solo_recursos_monetarios_corrientes_proxy,26.513,1096126,4134348,9142
2025-Q3,bajo,solo_ingreso_laboral_proxy,7.342,303526,4134348,9142
2025-Q3,medio,gasto_ahorros,37.399,1519680,4063433,4630
2025-Q3,medio,prestamo_familia_amigos,13.643,554375,4063433,4630
2025-Q3,medio,prestamo_banco_financiera,17.181,698122,4063433,4630
2025-Q3,medio,cuotas_o_fiado,54.845,2228598,4063433,4630
2025-Q3,medio,venta_pertenencias,8.593,349163,4063433,4630
2025-Q3,medio,cualquier_prestamo,25.322,1028936,4063433,4630
2025-Q3,medio,ahorro_o_venta,39.98,1624563,4063433,4630
2025-Q3,medio,cualquier_estrategia_v13_v17,71.63,2910638,4063433,4630
2025-Q3,medio,sin_estrategias_v13_v17,28.37,1152795,4063433,4630
2025-Q3,medio,solo_recursos_monetarios_corrientes_proxy,25.57,1039004,4063433,4630
2025-Q3,medio,solo_ingreso_laboral_proxy,10.173,413382,4063433,4630
2025-Q3,alto,gasto_ahorros,38.553,783288,2031721,2088
2025-Q3,alto,prestamo_familia_amigos,9.589,194814,2031721,2088
2025-Q3,alto,prestamo_banco_financiera,13.289,269994,2031721,2088
2025-Q3,alto,cuotas_o_fiado,65.083,1322310,2031721,2088
2025-Q3,alto,venta_pertenencias,6.126,124461,2031721,2088
2025-Q3,alto,cualquier_prestamo,19.026,386556,2031721,2088
2025-Q3,alto,ahorro_o_venta,40.664,826187,2031721,2088
2025-Q3,alto,cualquier_estrategia_v13_v17,76.804,1560449,2031721,2088
2025-Q3,alto,sin_estrategias_v13_v17,23.196,471272,2031721,2088
2025-Q3,alto,solo_recursos_monetarios_corrientes_proxy,22.113,449273,2031721,2088
2025-Q3,alto,solo_ingreso_laboral_proxy,11.377,231142,2031721,2088
2025-Q4,total,gasto_ahorros,35.013,3557703,10161165,15534
2025-Q4,total,prestamo_familia_amigos,17.665,1794971,10161165,15534
2025-Q4,total,prestamo_banco_financiera,16.937,1720978,10161165,15534
2025-Q4,total,cuotas_o_fiado,52.17,5301095,10161165,15534
2025-Q4,total,venta_pertenencias,10.981,1115803,10161165,15534
2025-Q4,total,cualquier_prestamo,28.345,2880223,10161165,15534
2025-Q4,total,ahorro_o_venta,39.132,3976248,10161165,15534
2025-Q4,total,cualquier_estrategia_v13_v17,70.724,7186335,10161165,15534
2025-Q4,total,sin_estrategias_v13_v17,29.276,2974830,10161165,15534
2025-Q4,total,solo_recursos_monetarios_corrientes_proxy,25.508,2591905,10161165,15534
2025-Q4,total,solo_ingreso_laboral_proxy,10.171,1033460,10161165,15534
2025-Q4,bajo,gasto_ahorros,35.084,1442858,4112552,8897
2025-Q4,bajo,prestamo_familia_amigos,23.953,985096,4112552,8897
2025-Q4,bajo,prestamo_banco_financiera,18.398,756621,4112552,8897
2025-Q4,bajo,cuotas_o_fiado,43.436,1786312,4112552,8897
2025-Q4,bajo,venta_pertenencias,13.742,565146,4112552,8897
2025-Q4,bajo,cualquier_prestamo,34.701,1427095,4112552,8897
2025-Q4,bajo,ahorro_o_venta,40.447,1663395,4112552,8897
2025-Q4,bajo,cualquier_estrategia_v13_v17,69.566,2860937,4112552,8897
2025-Q4,bajo,sin_estrategias_v13_v17,30.434,1251615,4112552,8897
2025-Q4,bajo,solo_recursos_monetarios_corrientes_proxy,23.803,978929,4112552,8897
2025-Q4,bajo,solo_ingreso_laboral_proxy,7.266,298823,4112552,8897
2025-Q4,medio,gasto_ahorros,37.569,1515800,4034685,4627
2025-Q4,medio,prestamo_familia_amigos,16.03,646745,4034685,4627
2025-Q4,medio,prestamo_banco_financiera,17.85,720176,4034685,4627
2025-Q4,medio,cuotas_o_fiado,55.909,2255772,4034685,4627
2025-Q4,medio,venta_pertenencias,10.732,432992,4034685,4627
2025-Q4,medio,cualquier_prestamo,27.588,1113075,4034685,4627
2025-Q4,medio,ahorro_o_venta,41.559,1676775,4034685,4627
2025-Q4,medio,cualquier_estrategia_v13_v17,71.717,2893541,4034685,4627
2025-Q4,medio,sin_estrategias_v13_v17,28.283,1141144,4034685,4627
2025-Q4,medio,solo_recursos_monetarios_corrientes_proxy,25.72,1037722,4034685,4627
2025-Q4,medio,solo_ingreso_laboral_proxy,10.541,425281,4034685,4627
2025-Q4,alto,gasto_ahorros,29.745,599045,2013928,2010
2025-Q4,alto,prestamo_familia_amigos,8.1,163130,2013928,2010
2025-Q4,alto,prestamo_banco_financiera,12.125,244181,2013928,2010
2025-Q4,alto,cuotas_o_fiado,62.515,1259011,2013928,2010
2025-Q4,alto,venta_pertenencias,5.843,117665,2013928,2010
2025-Q4,alto,cualquier_prestamo,16.885,340053,2013928,2010
2025-Q4,alto,ahorro_o_venta,31.584,636078,2013928,2010
2025-Q4,alto,cualquier_estrategia_v13_v17,71.098,1431857,2013928,2010
2025-Q4,alto,sin_estrategias_v13_v17,28.902,582071,2013928,2010
2025-Q4,alto,solo_recursos_monetarios_corrientes_proxy,28.564,575254,2013928,2010
2025-Q4,alto,solo_ingreso_laboral_proxy,15.361,309356,2013928,2010
2025-S2,total,gasto_ahorros,35.936,7327685,20390667,31394
2025-S2,total,prestamo_familia_amigos,17.274,3522321,20390667,31394
2025-S2,total,prestamo_banco_financiera,16.358,3335588,20390667,31394
2025-S2,total,cuotas_o_fiado,51.563,10514137,20390667,31394
2025-S2,total,venta_pertenencias,10.417,2124108,20390667,31394
2025-S2,total,cualquier_prestamo,27.586,5625036,20390667,31394
2025-S2,total,ahorro_o_venta,39.706,8096249,20390667,31394
2025-S2,total,cualquier_estrategia_v13_v17,70.533,14382190,20390667,31394
2025-S2,total,sin_estrategias_v13_v17,29.467,6008477,20390667,31394
2025-S2,total,solo_recursos_monetarios_corrientes_proxy,25.386,5176308,20390667,31394
2025-S2,total,solo_ingreso_laboral_proxy,9.718,1981510,20390667,31394
2025-S2,bajo,gasto_ahorros,35.284,2909872,8246900,18039
2025-S2,bajo,prestamo_familia_amigos,23.806,1963257,8246900,18039
2025-S2,bajo,prestamo_banco_financiera,17.014,1403115,8246900,18039
2025-S2,bajo,cuotas_o_fiado,41.815,3448446,8246900,18039
2025-S2,bajo,venta_pertenencias,13.336,1099827,8246900,18039
2025-S2,bajo,cualquier_prestamo,33.424,2756416,8246900,18039
2025-S2,bajo,ahorro_o_venta,40.411,3332646,8246900,18039
2025-S2,bajo,cualquier_estrategia_v13_v17,67.731,5585705,8246900,18039
2025-S2,bajo,sin_estrategias_v13_v17,32.269,2661195,8246900,18039
2025-S2,bajo,solo_recursos_monetarios_corrientes_proxy,25.162,2075055,8246900,18039
2025-S2,bajo,solo_ingreso_laboral_proxy,7.304,602349,8246900,18039
2025-S2,medio,gasto_ahorros,37.484,3035480,8098118,9257
2025-S2,medio,prestamo_familia_amigos,14.832,1201120,8098118,9257
2025-S2,medio,prestamo_banco_financiera,17.514,1418298,8098118,9257
2025-S2,medio,cuotas_o_fiado,55.375,4484370,8098118,9257
2025-S2,medio,venta_pertenencias,9.658,782155,8098118,9257
2025-S2,medio,cualquier_prestamo,26.451,2142011,8098118,9257
2025-S2,medio,ahorro_o_venta,40.767,3301338,8098118,9257
2025-S2,medio,cualquier_estrategia_v13_v17,71.673,5804179,8098118,9257
2025-S2,medio,sin_estrategias_v13_v17,28.327,2293939,8098118,9257
2025-S2,medio,solo_recursos_monetarios_corrientes_proxy,25.645,2076726,8098118,9257
2025-S2,medio,solo_ingreso_laboral_proxy,10.356,838663,8098118,9257
2025-S2,alto,gasto_ahorros,34.168,1382333,4045649,4098
2025-S2,alto,prestamo_familia_amigos,8.848,357944,4045649,4098
2025-S2,alto,prestamo_banco_financiera,12.709,514175,4045649,4098
2025-S2,alto,cuotas_o_fiado,63.805,2581321,4045649,4098
2025-S2,alto,venta_pertenencias,5.985,242126,4045649,4098
2025-S2,alto,cualquier_prestamo,17.96,726609,4045649,4098
2025-S2,alto,ahorro_o_venta,36.144,1462265,4045649,4098
2025-S2,alto,cualquier_estrategia_v13_v17,73.964,2992306,4045649,4098
2025-S2,alto,sin_estrategias_v13_v17,26.036,1053343,4045649,4098
2025-S2,alto,solo_recursos_monetarios_corrientes_proxy,25.324,1024527,4045649,4098
2025-S2,alto,solo_ingreso_laboral_proxy,13.36,540498,4045649,4098
2025,total,gasto_ahorros,36.645,14923893,40725781,63547
2025,total,prestamo_familia_amigos,16.672,6789731,40725781,63547
2025,total,prestamo_banco_financiera,15.29,6227112,40725781,63547
2025,total,cuotas_o_fiado,51.219,20859432,40725781,63547
2025,total,venta_pertenencias,9.876,4022206,40725781,63547
2025,total,cualquier_prestamo,26.529,10804159,40725781,63547
2025,total,ahorro_o_venta,40.255,16394184,40725781,63547
2025,total,cualquier_estrategia_v13_v17,70.611,28757003,40725781,63547
2025,total,sin_estrategias_v13_v17,29.389,11968778,40725781,63547
2025,total,solo_recursos_monetarios_corrientes_proxy,25.598,10425054,40725781,63547
2025,total,solo_ingreso_laboral_proxy,9.663,3935400,40725781,63547
2025,bajo,gasto_ahorros,36.204,5973263,16499066,35979
2025,bajo,prestamo_familia_amigos,23.191,3826266,16499066,35979
2025,bajo,prestamo_banco_financiera,15.501,2557502,16499066,35979
2025,bajo,cuotas_o_fiado,41.595,6862767,16499066,35979
2025,bajo,venta_pertenencias,13.195,2177108,16499066,35979
2025,bajo,cualquier_prestamo,31.966,5274153,16499066,35979
2025,bajo,ahorro_o_venta,41.625,6867744,16499066,35979
2025,bajo,cualquier_estrategia_v13_v17,67.604,11153995,16499066,35979
2025,bajo,sin_estrategias_v13_v17,32.396,5345071,16499066,35979
2025,bajo,solo_recursos_monetarios_corrientes_proxy,25.902,4273552,16499066,35979
