entity,period,basis,pass_total_income,bcra_income,otherfi_income,otherfi_expense,identification
Banco Macro SA,Q4-2023,CONSOLIDATED,N/D,83520202.8273678,647816.0410429954,N/D,PARTIAL_GROSS
Banco Ciudad de Buenos Aires,Q4-2023,CONSOLIDATED,N/D,0,370794209.0769231,N/D,PARTIAL_GROSS
Banco de Galicia y Buenos Aires SAU,Q4-2023,INDIVIDUAL,234645922.80298498,228495363.41333684,6150559.389648143,1422129.1574905645,SPLIT_PLUS_OTHERFI_EXPENSE
Banco Santander Argentina SA,Q4-2023,CONSOLIDATED,202636435.29528397,0_to_6246336.000000,>=196390099.295284,N/D,TOTAL_EXACT_COUNTERPARTY_BOUND
BBVA Argentina,Q4-2023,CONSOLIDATED,160569000,N/D,N/D,2000,TOTAL_ONLY_COUNTERPARTY_ND
Grupo Supervielle / Banco Supervielle,Q4-2023,CONSOLIDATED,N/D,N/D,N/D,N/D,PASSES_GROUPED_WITH_BCRA_SECURITIES
