persona_id,persona,anio,tipo_ddjj,rectificativa,dj_id,periodo_controlado,bienes_resumen_ars,bienes_detalle_ars,bienes_ratio_resumen_detalle,bienes_estado,deudas_resumen_ars,deudas_detalle_ars,deudas_ratio_resumen_detalle,deudas_estado,calidad_fuente,fuente_url
dip-benedit-beltran,Beltrán Benedit,2024,Anual,0,804639,cierre,430951520.0,43095152.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bonacci-rocio,Rocío Bonacci,2022,Anual,0,677504,cierre,0.0,0.0,,concilia_cero,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bonacci-rocio,Rocío Bonacci,2023,Inicial,0,686918,inicio,0.0,0.0,,concilia_cero,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bonacci-rocio,Rocío Bonacci,2024,Anual,0,826621,cierre,124930099.42,124930099.42,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bongiovanni-alejandro,Alejandro Bongiovanni,2022,Inicial,0,677664,inicio,0.0,0.0,,concilia_cero,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bongiovanni-alejandro,Alejandro Bongiovanni,2023,Anual,1,800114,cierre,1628606.59,1628606.59,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bongiovanni-alejandro,Alejandro Bongiovanni,2024,Anual,1,802146,cierre,23895873.88,23895873.88,1.0,concilia,240031.48,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bordet-gustavo,Gustavo Bordet,2023,Anual,0,717713,cierre,202780443.21,202780443.21,1.0,concilia,1035984.64,1035984.64,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bordet-gustavo,Gustavo Bordet,2024,Anual,0,817859,cierre,395809334.04,395809334.04,1.0,concilia,222387.78,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-borgatta-alejandrina,Alejandrina Borgatta,2024,Anual,0,822269,cierre,303093000.0,30309300.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bornoroni-gabriel,Gabriel Bornoroni,2022,Anual,1,683230,cierre,79457938.13,79457938.13,1.0,concilia,23327081.19,23327081.19,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bornoroni-gabriel,Gabriel Bornoroni,2023,Anual,0,732721,cierre,2907665950.0,290766595.0,10.0,resumen_10x_detalle,19843751.67,19843751.67,1.0,concilia,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bornoroni-gabriel,Gabriel Bornoroni,2024,Anual,0,784811,cierre,504784358.67,504784358.67,1.0,concilia,65330311.83,65330311.83,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bregman-myriam,Myriam Bregman,2022,Anual,2,668022,cierre,887739.28,887739.28,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-bregman-myriam,Myriam Bregman,2024,Anual,0,821031,cierre,3324896.81,3324896.81,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-brugge-juan-fernando,Juan Fernando Brügge,2022,Anual,0,676057,cierre,23435492.05,23435492.05,1.0,concilia,7901765.97,7901765.98,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-brugge-juan-fernando,Juan Fernando Brügge,2023,Anual,0,710748,cierre,56802358.11,56802358.11,1.0,concilia,17009574.76,17009574.76,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-brugge-juan-fernando,Juan Fernando Brügge,2024,Anual,1,824821,cierre,104030846.68,104030846.68,1.0,concilia,237245610.0,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-cafiero-santiago,Santiago Cafiero,2022,Anual,0,655028,cierre,15449899.22,15449899.22,1.0,concilia,407880.06,407880.06,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-cafiero-santiago,Santiago Cafiero,2023,Anual,1,747348,cierre,57675643.23,57675643.23,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-cafiero-santiago,Santiago Cafiero,2024,Anual,0,806605,cierre,110974631.12,110974631.12,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-campero-mariano,Mariano Campero,2022,Anual,0,688123,cierre,58251740.0,5825174.0,10.0,resumen_10x_detalle,77336.72,77336.72,1.0,concilia,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-campero-mariano,Mariano Campero,2023,Anual,0,753115,cierre,21435414.59,21435414.59,1.0,concilia,363262.69,363262.69,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-campero-mariano,Mariano Campero,2024,Anual,0,771502,cierre,538909960.0,53890996.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-campitelli-celia,Celia Campitelli,2023,Anual,0,714775,cierre,232799320.0,23279932.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-campitelli-celia,Celia Campitelli,2024,Anual,0,781783,cierre,71771615.51,71771615.51,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-castagneto-carlos-daniel,Carlos Daniel Castagneto,2022,Anual,0,626248,cierre,74482908.92,74482908.92,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-castagneto-carlos-daniel,Carlos Daniel Castagneto,2023,Anual,0,717740,cierre,298695593.04,298695593.04,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-castagneto-carlos-daniel,Carlos Daniel Castagneto,2024,Anual,0,777199,cierre,447882984.88,447882984.88,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-cisneros-carlos,Carlos Cisneros,2022,Anual,0,652604,cierre,125937964.25,125937964.25,1.0,concilia,200210000.0,20021000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-cisneros-carlos,Carlos Cisneros,2023,Anual,0,739939,cierre,176331397.48,176331397.48,1.0,concilia,800000.0,80000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
