persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
massa,Sergio Massa,2017,oficial_consolidado_oa,Baja,0,262450,2450868.33,528896.36,1921971.97,198774226.54,130544.49,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2018,oficial_consolidado_oa,Anual,0,413380,2918187.30,731993.70,2186193.60,160299724.35,77183.77,184.2552,37.8083,119.07,80.64,59.12,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2019,oficial_consolidado_oa,Anual,0,441041,973206.69,541476.55,431730.14,34751765.80,16248.55,283.4442,59.8950,39.71,17.48,12.45,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2020,oficial_consolidado_oa,Anual,0,521463,6945358.84,99540.28,6845818.56,182170839.06,82540.36,385.8826,84.1450,283.38,91.65,63.23,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2021,oficial_consolidado_oa,Anual,0,584146,10850790.31,65835.18,10784955.13,188554323.36,105603.80,582.4575,102.7500,442.73,94.86,80.89,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2022,oficial_consolidado_oa,Anual,0,648856,19380990.32,0.00,19380990.32,172892970.41,109417.81,1134.5875,177.1283,790.78,86.98,83.82,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2023,oficial_consolidado_oa,Baja,0,689319,52707118.72,0.00,52707118.72,150987633.58,65192.59,3533.1922,808.4833,2150.55,75.96,49.94,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
massa,Sergio Massa,2024,no_localizada,,,,,,,,,7694.0075,1032.5000,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
massa,Sergio Massa,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2017,oficial_consolidado_oa,Anual,0,332099,99876155.31,0.00,99876155.31,8100315010.18,5319862.11,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
macri,Mauricio Macri,2018,oficial_consolidado_oa,Anual,0,390515,151688684.18,0.00,151688684.18,8332451539.67,4012047.20,184.2552,37.8083,151.88,102.87,75.42,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
macri,Mauricio Macri,2019,oficial_consolidado_oa,Baja,0,420138,273282463.40,0.00,273282463.40,9758510975.02,4562692.44,283.4442,59.8950,273.62,120.47,85.77,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
macri,Mauricio Macri,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2021,no_localizada,,,,,,,,,582.4575,102.7500,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2022,no_localizada,,,,,,,,,1134.5875,177.1283,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2023,no_localizada,,,,,,,,,3533.1922,808.4833,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2024,no_localizada,,,,,,,,,7694.0075,1032.5000,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
macri,Mauricio Macri,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
caputo,Luis Caputo,2017,oficial_consolidado_oa,Anual,0,327825,126936267.71,13.31,126936254.40,10294987341.83,6761207.81,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
caputo,Luis Caputo,2018,oficial_consolidado_oa,Baja,0,351486,145785992.78,0.02,145785992.76,8008209225.15,3855925.62,184.2552,37.8083,114.85,77.79,57.03,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
caputo,Luis Caputo,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
caputo,Luis Caputo,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
caputo,Luis Caputo,2021,no_localizada,,,,,,,,,582.4575,102.7500,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
caputo,Luis Caputo,2022,no_localizada,,,,,,,,,1134.5875,177.1283,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
caputo,Luis Caputo,2023,oficial_consolidado_oa,Anual,1,754853,4996083558.32,10844968.10,4985238590.22,14312048390.35,6179575.46,3533.1922,808.4833,3935.90,139.02,91.40,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
caputo,Luis Caputo,2024,oficial_consolidado_oa,Anual,0,804505,11851166833.39,195687299.53,11655479533.86,15590063075.61,11478127.68,7694.0075,1032.5000,9336.31,151.43,169.76,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
caputo,Luis Caputo,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
javier,Javier Milei,2017,no_localizada,,,,,,,,,124.7956,18.7742,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
javier,Javier Milei,2018,no_localizada,,,,,,,,,184.2552,37.8083,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
javier,Javier Milei,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
javier,Javier Milei,2020,oficial_consolidado_oa,Anual,1,541019,4643303.37,100077.61,4543225.76,121789887.38,55182.17,385.8826,84.1450,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
javier,Javier Milei,2021,oficial_consolidado_oa,Anual,1,607656,12856431.70,0.00,12856431.70,223406379.69,125123.42,582.4575,102.7500,276.88,183.44,226.75,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
