row_id,filename,role,catalogued,catalog_source_id,bytes,sha256,preserved
B157_01,cgn_cuenta_2010_sigen_physical_output_and_planning_supervision.html,PLANNING_SUPERVISION_RECORD_CONTINUITY,YES,e0_cgn_account_2010_sigen_output_and_planning_supervision,466436,7f7c95e3c54561c4414c338f865cf7c87e3ca5d38cb12ce84c9fcffe79bda6c1,YES
B157_02,infoleg_plan_sigen_2008_target_control_program.html,TARGET_PERIOD_HORIZONTAL_ACCOUNT_PROGRAM,YES,e0_infoleg_plan_sigen_2008_target_account_horizontal_program,72528,91753c7e150a658e41725a2ac96ed4e93b02efe70a73829d13a505e102339e6d,YES
B157_03,infoleg_plan_sigen_2010_part_1.html,NEAR_TARGET_RISK_AND_ARCHIVE_COMPARATOR,YES,e0_infoleg_plan_sigen_2010_part1_risk_and_archive_digital,68432,f07f1e732b03815bd98242e8d7d6ebf2f130e88ff51f045e271763c1507b16ec,YES
B157_04,infoleg_plan_sigen_2010_part_2_sisio_cutoff.html,EXACT_SISIO_PLANNING_CUTOFF_AND_SCHEMA,YES,e0_infoleg_plan_sigen_2010_part2_sisio_snapshot_and_account_horizontal,45281,17223ba0f0b101226100699070c8dad54d387889650d75cb9ca263462f4eb560,YES
B157_05,sigen_memoria_2008_plan_2009_approval.pdf,TARGET_PLAN_APPROVAL_SUPERVISION_AND_ARCHIVE,YES,e0_sigen_memory_2008_plan_2009_approval_and_uai_supervision,95562,3f1bd12a3c5fbfb2f4bfde58f5ab30d1bc3cdb6c9072d30817536dd4aa85473c,YES
