date,original,sa,tc,population,pc_sa_raw,pc_tc_raw,sa_nov2023_100,tc_nov2023_100,pc_sa_raw_nov2023_100,pc_tc_raw_nov2023_100,running_peak_sa,drawdown_sa_pct,running_peak_pc,drawdown_pc_pct,gap_nov2023,cum_loss_months_base,cum_recovery_months_base,cum_net_months_base
2004-01,92.62750602691052,98.3644283435363,96.00687161738973,39240084.61691162,2.506733339232999e-06,2.4466530221500306e-06,67.20724315506632,66.19819265789853,79.20263035814902,78.01348094823365,98.3644283435363,0.0,2.506733339232999e-06,0.0,-0.3279275684493368,0.0,0.0,0.0
2004-02,90.18617931655959,98.0730609066357,96.61547733610057,39273787.38070021,2.4971633103771e-06,2.46004991572519e-06,67.00816710177135,66.6178355224268,78.90025617014604,78.4406515736674,98.3644283435363,-0.2962121996815781,2.506733339232999e-06,-0.38177291162637683,-0.32991832898228646,0.0,0.0,0.0
2004-03,101.88329804238073,97.66895933582744,97.29463215408506,39305315.77263146,2.4848791420684873e-06,2.4753555655653052e-06,66.732065740883,67.08612305985068,78.51212615784004,78.92868441338445,98.3644283435363,-0.7070330397081714,2.506733339232999e-06,-0.8718197832402241,-0.33267934259117005,0.0,0.0,0.0
2004-04,102.5674302511826,95.24702827201972,98.00193963054714,39339018.53642004,2.4211846613265167e-06,2.4912146585410364e-06,65.07728755885913,67.57382228185853,76.49963829760195,79.43436422842876,98.3644283435363,-3.169235183911312,2.506733339232999e-06,-3.4127554202737054,-0.3492271244114087,0.0,0.0,0.0
2004-05,109.87750394051662,96.9263780228826,98.73587891550041,39371634.114279956,2.461832743379268e-06,2.5077922503523733e-06,66.22469896508888,68.07988453934111,77.78395321343453,79.9629539513004,98.3644283435363,-1.461961752709351,2.506733339232999e-06,-1.7911995325146646,-0.3377530103491112,0.0,0.0,0.0
2004-06,105.66240620209851,98.6799298853691,99.49377296599724,39405336.878068544,2.5042275413280495e-06,2.5248806595375546e-06,67.42280877360173,68.602463970624,79.12345728372911,80.50783149312375,98.6799298853691,0.0,2.506733339232999e-06,-0.0999626831355016,-0.3257719122639827,0.0,0.0,0.0
2004-07,101.1069972900212,100.82839899798464,100.27597300134761,39437952.45592846,2.5566337174998985e-06,2.542626245959525e-06,68.89074477947584,69.14180274674302,80.77928039616796,81.073663654739,100.82839899798464,0.0,2.5566337174998985e-06,0.0,-0.31109255220524157,0.0,0.0,0.0
2004-08,98.35573694243757,102.18266642972112,101.07952822551897,39472544.81301059,2.5887022717633492e-06,2.56075529724149e-06,69.81604452567909,69.69586624912384,81.79251694977182,81.65172289893549,102.18266642972112,0.0,2.5887022717633492e-06,0.0,-0.3018395547432091,0.0,0.0,0.0
2004-09,98.08637453469638,102.34433957441499,101.89852926440246,39507137.170092724,2.59052786168193e-06,2.5792435636551414e-06,69.92650728676114,70.26057987478069,81.85019820419322,82.2412360038055,102.34433957441499,0.0,2.59052786168193e-06,0.0,-0.3007349271323886,0.0,0.0,0.0
2004-10,97.8356659809799,103.12853667775757,102.724465604539,39540613.64468833,2.608167329027057e-06,2.597948188857672e-06,70.4623079445129,70.83007549573388,82.40753399655087,82.8376478810398,103.12853667775757,0.0,2.608167329027057e-06,0.0,-0.29537692055487097,0.0,0.0,0.0
2004-11,100.1319466812214,103.57999481738356,103.54035880407156,39575206.00177047,2.617295152241273e-06,2.6162936157411158e-06,70.77076555947724,71.39264621906888,82.69593627560272,83.42260643368373,103.57999481738356,0.0,2.617295152241273e-06,0.0,-0.29229234440522756,0.0,0.0,0.0
2004-12,101.67895479099535,102.97627873646718,104.33257248050016,39608682.47636607,2.599841052474079e-06,2.634083386710828e-06,70.35827809698657,71.93888955243611,82.14445734864263,83.98984745480715,103.57999481738356,-0.5828500783194301,2.617295152241273e-06,-0.6668754860240766,-0.2964172190301343,0.0,0.0,0.0
2005-01,98.473359529179,105.76429612109536,105.08883424928786,39643274.83344821,2.6679000805417536e-06,2.6508615822177557e-06,72.26318381793332,72.46034350074852,84.29484724381523,84.5248335863409,105.76429612109536,0.0,2.6679000805417536e-06,0.0,-0.2773681618206668,0.0,0.0,0.0
