role,relative_path,source_url,size_bytes,sha256,format_verification
ARCHIVED_OFFICIAL_SIGEN_PAGE_OR_INDEX,/research/ciclo_ajuste/inputs/historical_retrieval/v168/binaries/sigen_planannual_2009_20090221.html,http://www.sigen.gov.ar:80/plananual2009.asp,23667,665f4b67f1295096cfa8f0921b360963cc56fcdf26caed106e9aa062f3907866,HTML_OFFICIAL_PAGE_CONTENT_ASSERTED
ARCHIVED_OFFICIAL_SIGEN_PAGE_OR_INDEX,/research/ciclo_ajuste/inputs/historical_retrieval/v168/binaries/sigen_resolutions_index_20100729.arc.gz,http://www.sigen.gov.ar/resoluciones.asp,5762,c9eb44dc4b260e3aba8173c8a96ccf0b02777703aff9474704d6c17390759586,GZIP_MAGIC_ARC_RECORD_DECOMPRESSED_AND_CONTENT_ASSERTED
ARCHIVED_OFFICIAL_SIGEN_PAGE_OR_INDEX,/research/ciclo_ajuste/inputs/historical_retrieval/v168/binaries/sigen_normative_index_20100729.arc.gz,http://www.sigen.gov.ar/normativa.asp,4451,f9df6c7ec242b81734446bf9b8b46e2a50ce619ddc170871c1c379403a1c6687,GZIP_MAGIC_ARC_RECORD_DECOMPRESSED_AND_CONTENT_ASSERTED
ARCHIVED_OFFICIAL_SIGEN_PAGE_OR_INDEX,/research/ciclo_ajuste/inputs/historical_retrieval/v168/binaries/sigen_resolutions_index_20120205.arc.gz,http://www.sigen.gov.ar/resoluciones.asp,6005,89d267552b9e3e6f155f812bb680b7827dfacc730b46e61263ae02ce39781bdc,GZIP_MAGIC_ARC_RECORD_DECOMPRESSED_AND_CONTENT_ASSERTED
