gap_id,entity_or_id,status,canonical_path,bytes,sha256,magic_match,sha256_match
1026,hist_bcra_perser_priv,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_priv.xls,1047040,9ccfe325c9ad0e61f9480d119fa268ff0b35756f8e993c49a3e9361518ea07b7,True,True
1027,hist_bcra_perser_pub,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_pub.xls,2678784,d7af3f66aa1fb99e42b62d8c37ed3282ec43d255fbc2b549ae153384f60ce744,True,True
1028,hist_bcra_t_cladeu,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_cladeu.pdf,2334724,9717cc822cac66afcf7dbde0996c9904c483d5476b1b5f2641e0115e8e35b01f,True,True
1029,hist_bcra_t_prevmi,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_prevmi.pdf,1124725,9c47e28525186a7f22a341a7424bcf97fd4e084114e4eca30a378699bc48ef9b,True,True
1030,hist_bcra_t_so_s12,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_so_s12.pdf,3352716,ec842d900fac4904e688281d4c62c5d30a9d5b288507b0dac5cad3f6a8edc0a0,True,True
1031,hist_bcra_titpubser,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_titpubser.xls,922112,fb5da58f3cb4179ba039fcb5a576a8f819fa5ab8227d8d12bd7996cd32b0123a,True,True
1032,hist_bna_memoria_2023_es,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bna_memoria_2023_es.pdf,6634939,2d4d66a0c1bbf0ed899e70cd128413e8f02c153e6698e797fb097d3a05dd91c7,True,True
1033,hist_indec_ipc_dic2023,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_ipc_dic2023.pdf,2516416,a040cb25624ea8fa3a3f070c862447c91093fe01a83430dcc12c721a326f1435,True,True
1034,hist_indec_pib_1t2024,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2024.pdf,1222904,125ba7688273f896be95d1c1460fcfc82fdb605719f0a370eb935277cea6f087,True,True
1035,hist_indec_pib_1t2026,DOWNLOAD_OK,data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2026.pdf,2635028,f008bfab26cf00a2eac3249e07fc00167efae03681a4de54a2dcd7c18f53bd7e,True,True
