indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2004-01-01,92.62750602691052,98.3644283435363,96.00687161738973,,,
2004-02-01,90.18617931655959,98.0730609066357,96.61547733610057,,-0.0029621219968157674,0.006339189148212938
2004-03-01,101.88329804238073,97.66895933582744,97.29463215408506,,-0.004120413567931394,0.007029461911385937
2004-04-01,102.5674302511826,95.24702827201972,98.00193963054714,,-0.02479734687742592,0.007269748194760836
2004-05-01,109.87750394051662,96.9263780228826,98.73587891550041,,0.01763151860304518,0.0074890281531172324
2004-06-01,105.66240620209851,98.6799298853691,99.49377296599724,,0.018091585575110685,0.007675974112160873
2004-07-01,101.1069972900212,100.82839899798464,100.27597300134761,,0.021772098086320996,0.00786179890491951
2004-08-01,98.35573694243757,102.18266642972112,101.07952822551897,,0.013431408662588922,0.008013437318235504
2004-09-01,98.08637453469638,102.34433957441499,101.89852926440246,,0.0015821973563888037,0.008102541169921125
2004-10-01,97.8356659809799,103.12853667775757,102.724465604539,,0.007662339769874507,0.00810547851965012
2004-11-01,100.1319466812214,103.57999481738356,103.54035880407156,,0.004377625768478169,0.007942540218933942
2004-12-01,101.67895479099535,102.97627873646718,104.33257248050016,,-0.005828500783194243,0.007651254888228607
2005-01-01,98.473359529179,105.76429612109536,105.08883424928786,0.06311142071092916,0.027074365269725433,0.007248568216115245
2005-02-01,96.11886613343405,106.03374131373461,105.80166754077054,0.06578266051220921,0.002547600679257016,0.006783149671179416
2005-03-01,110.65642586719524,106.83398081296676,106.46864075245288,0.08610957824672226,0.007547026911597783,0.006303995269501143
2005-04-01,116.54519048214907,107.99173416092523,107.0943698305132,0.13627874069512727,0.0108369391381693,0.005877120940382667
2005-05-01,126.66194335502726,109.09957041013837,107.68615064636488,0.15275592193646007,0.010258528190336022,0.005525788300432879
2005-06-01,116.50222321492875,108.59093362031211,108.25596621985645,0.10258915542863108,-0.004662133754643918,0.005291447136622054
2005-07-01,107.58113926245956,109.13671118353233,108.81851951253856,0.06403258079030437,0.0050259956796072916,0.005196510754332167
2005-08-01,105.82089279310111,109.3753549270429,109.38798228076878,0.07589954671411277,0.0021866495785205584,0.00523314203116513
2005-09-01,104.89213472672316,109.24681993418862,109.9787475017712,0.06938537818644079,-0.0011751732640321677,0.005400640990763463
2005-10-01,104.46066538498441,109.94905932827652,110.60131567362217,0.06771558549304985,0.006428007648286069,0.005660804346230037
2005-11-01,108.00375438454834,111.17783347769951,111.26497219875105,0.0786143480101063,0.01117584958825546,0.006000439697184845
2005-12-01,110.50332389924424,113.01988413596017,111.97313288130877,0.08678658357953893,0.016568506514656606,0.006364632719205901
2006-01-01,106.53094787692405,113.85835877601714,112.72244214900033,0.08182505792703722,0.007418824098671877,0.006691866597015092
