"cd_periodo","tx_asistencia","tx_edad","nu_valor"
"201702","Adelantos / Overdrafts","15 - 19","0,135965311086358"
"201702","Adelantos / Overdrafts","20 - 24","2,23563399039978"
"201702","Adelantos / Overdrafts","25 - 29","5,45101644346834"
"201702","Adelantos / Overdrafts","30 - 34","7,8034247541047"
"201702","Adelantos / Overdrafts","35 - 39","8,98349208976076"
"201702","Adelantos / Overdrafts","40 - 44","8,87732378777145"
"201702","Adelantos / Overdrafts","45 - 49","9,17691396956941"
"201702","Adelantos / Overdrafts","50 - 54","8,90886506484297"
"201702","Adelantos / Overdrafts","55 - 59","8,26043632387435"
"201702","Adelantos / Overdrafts","60 - 64","8,25720067586152"
"201702","Adelantos / Overdrafts","65 - 69","8,44221833691463"
"201702","Adelantos / Overdrafts","70 - 74","8,45971783096137"
"201702","Adelantos / Overdrafts","75 - 79","7,4158713539779"
"201702","Adelantos / Overdrafts","80 - 84","5,95846253006348"
"201702","Adelantos / Overdrafts","85 - 89","3,98457182856705"
"201702","Adelantos / Overdrafts","TOTAL","6,56212014553902"
"201702","Hipotecarios / Mortgage-backed loans","15 - 19","0,000511468254870314"
"201702","Hipotecarios / Mortgage-backed loans","20 - 24","0,00434234243320216"
"201702","Hipotecarios / Mortgage-backed loans","25 - 29","0,0859416747927485"
"201702","Hipotecarios / Mortgage-backed loans","30 - 34","0,465151679624285"
"201702","Hipotecarios / Mortgage-backed loans","35 - 39","1,1039963336972"
"201702","Hipotecarios / Mortgage-backed loans","40 - 44","1,42514737319427"
"201702","Hipotecarios / Mortgage-backed loans","45 - 49","1,3339155033212"
"201702","Hipotecarios / Mortgage-backed loans","50 - 54","1,07776745311488"
"201702","Hipotecarios / Mortgage-backed loans","55 - 59","0,880740884444522"
"201702","Hipotecarios / Mortgage-backed loans","60 - 64","0,654795429639234"
"201702","Hipotecarios / Mortgage-backed loans","65 - 69","0,415266081074124"
"201702","Hipotecarios / Mortgage-backed loans","70 - 74","0,191178689213369"
"201702","Hipotecarios / Mortgage-backed loans","75 - 79","0,110627883148319"
"201702","Hipotecarios / Mortgage-backed loans","80 - 84","0,0923128151617205"
"201702","Hipotecarios / Mortgage-backed loans","85 - 89","0,104573755671496"
"201702","Hipotecarios / Mortgage-backed loans","TOTAL","0,581932902374581"
"201702","Personales / Personal Loans","15 - 19","0,614074469777909"
"201702","Personales / Personal Loans","20 - 24","9,29703919482325"
"201702","Personales / Personal Loans","25 - 29","21,6213961044813"
"201702","Personales / Personal Loans","30 - 34","28,8971425862084"
"201702","Personales / Personal Loans","35 - 39","32,6813658250931"
"201702","Personales / Personal Loans","40 - 44","31,5905578065825"
"201702","Personales / Personal Loans","45 - 49","33,1687921221042"
"201702","Personales / Personal Loans","50 - 54","32,7659317053113"
"201702","Personales / Personal Loans","55 - 59","30,6609328857613"
"201702","Personales / Personal Loans","60 - 64","34,3265507048956"
"201702","Personales / Personal Loans","65 - 69","39,4728396026817"
"201702","Personales / Personal Loans","70 - 74","40,3553311844318"
"201702","Personales / Personal Loans","75 - 79","35,4387307212177"
"201702","Personales / Personal Loans","80 - 84","26,0246310372169"
"201702","Personales / Personal Loans","85 - 89","13,8419944397368"
"201702","Personales / Personal Loans","TOTAL","25,6296294993425"
"201702","Prendarios / Pledge-backed loans","15 - 19","0,0170489418290104"
"201702","Prendarios / Pledge-backed loans","20 - 24","0,454769320762392"
"201702","Prendarios / Pledge-backed loans","25 - 29","1,1422741748756"
"201702","Prendarios / Pledge-backed loans","30 - 34","1,70280076710099"
"201702","Prendarios / Pledge-backed loans","35 - 39","2,07830357114441"
"201702","Prendarios / Pledge-backed loans","40 - 44","2,09422132691947"
"201702","Prendarios / Pledge-backed loans","45 - 49","2,17079171963329"
"201702","Prendarios / Pledge-backed loans","50 - 54","2,19082978906304"
"201702","Prendarios / Pledge-backed loans","55 - 59","2,04689707608527"
"201702","Prendarios / Pledge-backed loans","60 - 64","1,85452604555516"
"201702","Prendarios / Pledge-backed loans","65 - 69","1,5155877311562"
"201702","Prendarios / Pledge-backed loans","70 - 74","0,751493659551066"
"201702","Prendarios / Pledge-backed loans","75 - 79","0,167675628755643"
"201702","Prendarios / Pledge-backed loans","80 - 84","0,0537392459691444"
"201702","Prendarios / Pledge-backed loans","85 - 89","0,029189964320228"
"201702","Prendarios / Pledge-backed Loans","TOTAL","1,36524789842484"
"201702","Tarjetas de crédito / Credit cards","15 - 19","0,702672137482667"
"201702","Tarjetas de crédito / Credit cards","20 - 24","14,2990814965224"
"201702","Tarjetas de crédito / Credit cards","25 - 29","33,9212022996084"
"201702","Tarjetas de crédito / Credit cards","30 - 34","45,8591456331515"
"201702","Tarjetas de crédito / Credit cards","35 - 39","51,8773570794333"
"201702","Tarjetas de crédito / Credit cards","40 - 44","50,0304393647158"
"201702","Tarjetas de crédito / Credit cards","45 - 49","51,8437737783998"
"201702","Tarjetas de crédito / Credit cards","50 - 54","52,0071463041118"
"201702","Tarjetas de crédito / Credit cards","55 - 59","50,296144100927"
"201702","Tarjetas de crédito / Credit cards","60 - 64","52,2753568138455"
"201702","Tarjetas de crédito / Credit cards","65 - 69","53,0391515708484"
"201702","Tarjetas de crédito / Credit cards","70 - 74","49,1338153491261"
"201702","Tarjetas de crédito / Credit cards","75 - 79","39,7447169313234"
"201702","Tarjetas de crédito / Credit cards","80 - 84","28,1953009480196"
"201702","Tarjetas de crédito / Credit cards","85 - 89","17,3980689279914"
"201702","Tarjetas de crédito / Credit Cards","TOTAL","38,6654226365943"
"201703","Adelantos / Overdrafts","15 - 19","0,140682184992384"
"201703","Adelantos / Overdrafts","20 - 24","2,38145265081795"
"201703","Adelantos / Overdrafts","25 - 29","5,82408937003821"
"201703","Adelantos / Overdrafts","30 - 34","8,34362706014905"
"201703","Adelantos / Overdrafts","35 - 39","9,6389073653859"
"201703","Adelantos / Overdrafts","40 - 44","9,54364635727176"
"201703","Adelantos / Overdrafts","45 - 49","9,8480281186458"
"201703","Adelantos / Overdrafts","50 - 54","9,56805158147"
"201703","Adelantos / Overdrafts","55 - 59","8,80706591496524"
"201703","Adelantos / Overdrafts","60 - 64","8,93055173527883"
"201703","Adelantos / Overdrafts","65 - 69","9,1708088409602"
"201703","Adelantos / Overdrafts","70 - 74","9,19369150881109"
"201703","Adelantos / Overdrafts","75 - 79","8,08937032711848"
"201703","Adelantos / Overdrafts","80 - 84","6,56410053524948"
"201703","Adelantos / Overdrafts","85 - 89","4,39974947642272"
"201703","Adelantos / Overdrafts","TOTAL","7,04650093768674"
"201703","Hipotecarios / Mortgage-backed loans","15 - 19","0,000539883157918665"
"201703","Hipotecarios / Mortgage-backed loans","20 - 24","0,00479058423275851"
"201703","Hipotecarios / Mortgage-backed loans","25 - 29","0,0910004878556505"
"201703","Hipotecarios / Mortgage-backed loans","30 - 34","0,472014164168098"
"201703","Hipotecarios / Mortgage-backed loans","35 - 39","1,10708341157113"
"201703","Hipotecarios / Mortgage-backed loans","40 - 44","1,42765496388024"
"201703","Hipotecarios / Mortgage-backed loans","45 - 49","1,33301014942866"
"201703","Hipotecarios / Mortgage-backed loans","50 - 54","1,07394687301437"
"201703","Hipotecarios / Mortgage-backed loans","55 - 59","0,873539365364906"
