cd_serie,tx_serie,tx_nota_metodologica,tx_nota_datos,periodicidad,nombre,tipo,unidad_expresion,moneda,sector,tipo_titular,agrupamiento,rama_agrupamiento,saldo_mensual_tipo,informantes_depositos,ubicacion_txt
1160,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Compra de mon.ext.",Incluye las pérdidas devengadas por las primas de compra de moneda extranjera -liquidable o no en pesos- a término.,,Mensual,Resultados Mensuales de entidades financieras -intereses pagados por compra de mon.ext.,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1161,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por obligaciones subordinadas",Corresponde a las pérdidas devengadas por intereses y ajustes sobre los capitales correspondientes a obligaciones subordinadas.,,Mensual,Resultados Mensuales de entidades financieras -intereses pagados por obligaciones subordinadas,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1162,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por otras obligaciones por intermediación financiera","Incluye el Resto de empresas que no son PYMES o Prestadoras de Servicios Financieros de las pérdidas devengadas por operaciones realizadas en ejercicio de la activi-dad de intermediación habitual entre la oferta y demanda de recursos financieros (que no co-rrespondan a intereses o actualizaciones por depósitos, u obligaciones subordinadas, ni a pri-mas de futuro).",,Mensual,Resultados Mensuales de entidades financieras -intereses pagados por otras obligaciones por intermediación financiera,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1183,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Total",Comprende el total de pérdidas/ganancias netas devengadas,,Mensual,Resultados Mensuales de entidades financieras -resultados netos totales,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1184,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por inversiones - Total",Comprende el total de pérdidas/ganancias netas devengadas por inversiones,,Mensual,Resultados Mensuales de entidades financieras -resultados netos por inversiones totales,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1185,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por inversiones - En títulos públicos","Corresponde a las pérdidas/ganancias netas devengadas en concepto de renta, diferencias de cotización, ajustes y actualización de títulos públicos en dólares estadounidenses liquidables en pesos y venta de títulos públicos de propiedad de la entidad (por la diferencia entre el precio pactado y el valor registrado a ese momento).
También incluye el cargo devengado por la previsión por riesgo de desvalorización de títulos públicos.",,Mensual,Resultados Mensuales de entidades financieras -resultados netos por inversiones en títulos públicos,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1186,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por inversiones - En participaciones societarias ","Corresponde a las pérdidas/ganancias netas devengadas por diferencias de cotización y venta de participaciones transitorias propias en otras sociedades (incluso por dividendos declarados), de certificados de participación y títulos de deuda de fideicomisos financieros (incluso por ren-tas) y de otros títulos privados.
Los resultados por la venta surgen como diferencia entre el precio pactado y el valor registrado a ese momento.",,Mensual,Resultados Mensuales de entidades financieras -resultados netos por inversiones en participaciones societarias ,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1187,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por inversiones - En obligaciones negociables","Corresponde a las pérdidas/ganancias netas devengadas en concepto de renta y diferencias de cotización y venta de obligaciones negociables en cartera (por la diferencia entre el precio pac-tado y el valor registrado a ese momento).
También incluye el cargo devengado por la previsión por riesgo de desvalorización de obliga-ciones negociables.",,Mensual,Resultados Mensuales de entidades financieras -resultados netos por inversiones en obligaciones negociables,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1188,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por obligaciones subordinadas","Corresponde a las pérdidas/ganancias netas devengadas en concepto de renta y diferencias de cotización y venta de obligaciones subordinadas en cartera (por la diferencia entre el precio pactado y el valor registrado a ese momento).
También incluye el cargo devengado por la previsión por riesgo de desvalorización de obligaciones subordinadas.",,Mensual,Resultados Mensuales de entidades financieras -resultados netos por obligaciones subordinadas,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1189,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por opciones","Corresponde a las pérdidas/ganancias netas devengadas en concepto de diferencias de cotiza-ción y de ventas (por la diferencia entre el precio pactado y el valor registrado a ese momento) de primas por opciones (de venta o de compra, lanzadas o tomadas).
Incluye los resultados generados por el ejercicio de opciones (por la diferencia entre el valor de ejercicio, más la prima y los gastos directos originados por la operación, y el valor de cotiza-ción de cierre en los mercados correspondientes).
También comprende el valor contable de las primas por opciones vencidas y no ejercidas.",,Mensual,Resultados Mensuales de entidades financieras -resultados netos por opciones,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1190,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Por participaciones societarias permanentes ",Corresponde a las pérdidas/ganancias netas devengadas en concepto de dividendos declarados y diferencias de cotización de participaciones permanentes en sociedades no controladas y con-troladas (en ese caso corresponde a la proporción establecida sobre las utilidades netas de la emisora) y venta de participaciones permanentes propias en otras sociedades.,,Mensual,Resultados Mensuales de entidades financieras -resultados netos por participaciones societarias permanentes ,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1191,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - De filiales en el exterior",Corresponde a las pérdidas/ganancias netas de las operaciones efectuadas por las filiales opera-tivas de la entidad local radicadas en el exterior.,,Mensual,Resultados Mensuales de entidades financieras -resultados netos de filiales en el exterior,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1192,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Resultados netos - Otros ","Incluye las pérdidas/ganancias netas provenientes de:
La venta y actualización Mensual de los activos y pasivos en oro y moneda extranjera.
El cargo devengado por la previsión por riesgo de desvalorización de obligaciones ne-gociables.
Los resultados devengados por intereses sobre los capitales de préstamos garantizados (Decreto 1387/01).
La actualización de las operaciones a término en moneda extranjera liquidables en pe-sos.
Los contratos de permutas de tasas de interés.",,Mensual,Resultados Mensuales de entidades financieras -otros resultados netos ,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
