persona_id,persona,anio,categoria,importe_ars,dj_id,metodo,fuente_url
javier,Javier Milei,2023,Vehículos,26523500.00,749085,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Créditos,19342309.51,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Inmuebles,38419071.20,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Liquidez ARS,20850019.00,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Moneda extranjera,88023222.21,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Otros,2983953.56,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Vehículos,36427800.00,797241,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Créditos,851865.29,748973,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Inmuebles,1833559.24,748973,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Liquidez ARS,795995.38,748973,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Moneda extranjera,61850.51,748973,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Otros,5000.00,748973,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Créditos,2412777.03,795500,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Inmuebles,3992825.14,795500,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Liquidez ARS,4891379.38,795500,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Moneda extranjera,79016.91,795500,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Otros,25023.47,795500,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Créditos,2201382.18,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Inmuebles,54522614.96,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Liquidez ARS,1405633.73,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Moneda extranjera,678905.27,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Otros,4567555.49,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Sociedades y títulos,231007134.64,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Vehículos,1267690.00,677410,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Créditos,4157577.44,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Inmuebles,128587628.39,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Liquidez ARS,4836668.19,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Moneda extranjera,13472939.35,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Otros,7691824.14,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Sociedades y títulos,445098646.17,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Vehículos,1170690.00,749142,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Créditos,54352632.08,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Inmuebles,261018271.17,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Liquidez ARS,13454833.60,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Moneda extranjera,16611249.90,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Otros,16766166.41,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Sociedades y títulos,1162239466.11,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Vehículos,0.00,819664,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Créditos,2083009.35,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Inmuebles,14483119.58,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Liquidez ARS,461953.82,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Moneda extranjera,58.40,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Otros,275849.17,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Vehículos,2077000.00,648856,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Créditos,6048246.89,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Inmuebles,35947315.02,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Liquidez ARS,4797907.42,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Moneda extranjera,120.43,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Otros,758383.96,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Vehículos,5155145.00,689319,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Créditos,2622870.52,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Inmuebles,377573833.47,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Liquidez ARS,1128518.47,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Moneda extranjera,503994902.52,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Otros,30475516.26,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Sociedades y títulos,179079070.75,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2022,Vehículos,5055500.00,650311,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Créditos,1509372.33,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Inmuebles,1175737716.40,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Liquidez ARS,3682617.86,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Moneda extranjera,2340293337.91,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Otros,58451653.83,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Sociedades y títulos,1125307024.64,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2023,Vehículos,14085050.00,735140,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Créditos,1490403.75,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Inmuebles,2560329119.66,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Liquidez ARS,5838323.78,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Moneda extranjera,2989834061.34,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Otros,141850977.95,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Sociedades y títulos,2593631924.75,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2024,Vehículos,18592200.00,788672,Suma de bienes de cierre; categorías analíticas reproducibles.,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
