date,year,month,real_index,nominal_index,status
2024-11,2024,11,84.7,5957.0,observado INDEC
2024-12,2024,12,101.8,7274.2,observado INDEC
2025-01,2025,1,83.8,6105.1,observado INDEC
2025-02,2025,2,78.5,5851.5,observado INDEC
2025-03,2025,3,86.8,6677.6,observado INDEC
2025-04,2025,4,81.5,6449.0,observado INDEC
2025-05,2025,5,81.1,6488.3,observado INDEC
2025-06,2025,6,81.2,6560.4,observado INDEC
2025-07,2025,7,82.0,6722.1,observado INDEC
2025-08,2025,8,82.6,6878.4,observado INDEC
2025-09,2025,9,75.5,6406.5,observado INDEC
2025-10,2025,10,82.2,7087.5,observado INDEC
2025-11,2025,11,82.3,7219.3,observado INDEC
2025-12,2025,12,102.3,9128.4,observado INDEC
2026-01,2026,1,82.8,7636.9,observado INDEC
2026-02,2026,2,76.1,7228.5,observado INDEC
2026-03,2026,3,82.4,8044.1,observado INDEC
2026-04,2026,4,78.5,7835.0,observado INDEC
2026-05,2026,5,80.5323,8170.8382,derivado desde variación ia oficial y/o monto corriente oficial
2026-06,2026,6,78.6828,8112.6803,derivado desde variación ia oficial y/o monto corriente oficial
