id,estado_local,archivo_local,sha256_actual
audit_causas_mora,ok,/data/fuentes/morosidad/metodologia/AUDITORIA_CAUSAS_MORA_POBREZA_DESEMPLEO.md,b085505e98c2d9417dc8970b15703bf3007c1ac910617116a942ef182311e056
morosidad_bcra_catalogo_series,ok,/data/fuentes/morosidad/bcra/Series_estadisticas.xlsx,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0
morosidad_bcra_inf_bancos_pdf,ok,/data/fuentes/morosidad/bcra/InfBanc0526.pdf,c4a98662e7bf0a3ce9e26b87c74d0206b212fddf00786ea3f31bcef77543698a
morosidad_bcra_inf_bancos_xlsx,ok,/data/fuentes/morosidad/bcra/InfBanc0526.xlsx,3966ba65f712354cc6bce742c6aa18572b6b25b4a9341495c3c1e381332d95b7
morosidad_inclusion_pdf_202604,ok,/data/fuentes/morosidad/central_deudores/informe-inclusion-financiera-2026-04.pdf,791835603eaf4d31bf637cccc72f8d5ee1e18e8545ddf66cd248bb2ddd12d311
morosidad_inclusion_xlsx_202604,ok,/data/fuentes/morosidad/central_deudores/anexo-estadistico-informe-inclusion-financiera-2026-04.xlsx,545a793efc252487bdaa6ef2001d93ecf69b7083deedf128ab38e30ba914998b
morosidad_pnfc_pdf_202606,ok,/data/fuentes/morosidad/pnfc/informe-proveedores-no-financieros-credito-junio-2026.pdf,408924ff6799b48b00a2824b5afc501e4d2528cd7a22a4a9307eb5985c1139f5
morosidad_pnfc_series_202606,ok,/data/fuentes/morosidad/pnfc/series-informe-proveedores-no-financieros-credito-junio-2026.xlsx,120a5d7eaa47ef8558ae14f91b72baa33eefdbbde563a9b9e398e2ac408339cc
bcra_ecc_1t2024,referenced_only,,
bcra_ecc_2t2024,referenced_only,,
bcra_ecc_3t2024,referenced_only,,
indec_cgi_historical_private_1993_2007,ok,/data/fuentes/pendulo_distributivo/indec/cgi_apendice4_privado_1993_2007.xls,b519f4a772196d77f98b99007bc12de1a57ce6634f2867e91e300d16033bc6e5
indec_cgi_historical_total_1993_2007,ok,/data/fuentes/pendulo_distributivo/indec/cgi_cuadro1_total_1993_2007.xls,2528336344ce04d51e2676c6638261f7979cb0e2956cd6caea491aa03553ceb6
