date,pnfc_total_pct,pnfc_cards_pct,pnfc_personal_pct,fintech_pct,other_card_issuers_pct
2025-02-01,9.5,6.4,12.4,10.4,6.3
2025-03-01,10.4,7.000000000000001,13.3,11.200000000000001,7.000000000000001
2025-04-01,11.4,7.9,14.499999999999998,12.3,7.9
2025-05-01,12.9,8.5,16.900000000000002,15.0,8.6
2025-06-01,14.299999999999999,9.6,18.2,16.5,9.700000000000001
2025-07-01,16.400000000000002,10.8,20.3,18.4,11.1
2025-08-01,17.2,12.0,21.4,19.6,12.3
2025-09-01,18.8,13.700000000000001,23.0,21.099999999999998,14.000000000000002
2025-10-01,20.3,15.0,25.1,22.1,15.5
2025-11-01,21.7,16.0,26.6,22.900000000000002,16.7
2025-12-01,23.1,16.7,28.999999999999996,24.7,17.7
2026-01-01,24.7,18.2,30.9,25.900000000000002,19.400000000000002
2026-02-01,26.900000000000002,19.400000000000002,34.1,26.200000000000003,20.7
