fecha,banco_real,banco_promedio_historico,banco_brecha_tecnica_pp,monto_personales,impacto_banco_nominal,impacto_hogar_banco_nominal,impacto_hogar_banco_constante,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf,impacto_hogar_pf_nominal,impacto_hogar_pf_constante,impacto_hogar_total_nominal,impacto_hogar_total,fintech_tna,fintech_real,fintech_promedio_historico,fintech_brecha_tecnica_pp,stock_fintech_constante_feb_2026,stock_fintech_constante_jul_2026,impacto_costo_fintech_constante,impacto_hogar_fintech_constante,impacto_hogar_total_ampliado,fintech_tasa_metodo,fintech_stock_metodo,fintech_tasa_observada,ipc,ipc_ref,factor_ipc,periodo_referencia,ventana
2024-11,3.366961,1.069151,2.29781,1309430480000.0,30088221573.245567,-30088221573.245567,-48503044271.69481,0.52502,-0.528703,1.053723,26230781295000.0,276399842783.1229,445564181271.5216,246311621209.87735,397061136999.8268,126.995117,7.963143,6.986491,0.976652,2041306083333.3333,2300744522012.3037,22470274743.456497,-22470274743.456497,374590862256.3703,TNA oficial mensual,interpolado entre cortes oficiales,True,7491.431,12076.3937,1.612028,2026-07,post_shock
2024-12,3.061657,1.069151,1.992506,1319575672000.0,26292621477.125256,-26292621477.125256,-41268486983.258095,-0.001229,-0.528703,0.527474,25506116863000.0,134538200203.50546,211169052453.73782,108245578726.3802,169900565470.47974,130.036596,7.918158,6.986491,0.931667,2143400000000.0,2415813997099.572,22507341902.888172,-22507341902.888172,147393223567.59155,TNA oficial mensual,corte oficial,True,7694.0075,12076.3937,1.569584,2026-07,post_shock
2025-01,3.622677,1.069151,2.553526,1620345017000.0,41375927661.655716,-41375927661.655716,-63538149211.53598,0.350041,-0.528703,0.878744,26497852400000.0,232848355976.04874,357569108942.9703,191472428314.393,294030959731.4343,129.933219,8.430322,6.986491,1.443831,2328262000000.0,2624170910009.818,37888593527.57866,-37888593527.57866,256142366203.85565,TNA oficial mensual,interpolado entre cortes oficiales,True,7864.1257,12076.3937,1.535631,2026-07,post_shock
2025-02,3.269517,1.069151,2.200366,1535508212000.0,33786797177.343052,-33786797177.343052,-50667209045.8549,-0.08136,-0.528703,0.447343,31190516370000.0,139528671548.90744,209239376320.63113,105741874371.56439,158572167274.77625,129.565626,8.198608,6.986491,1.212117,2513124000000.0,2832527822920.0635,34333558169.909092,-34333558169.909092,124238609104.86716,TNA oficial mensual,corte oficial,True,8052.9927,12076.3937,1.499616,2026-07,post_shock
2025-03,1.909632,1.069151,0.840481,1610179834000.0,13533251956.275341,-13533251956.275341,-19565030531.38207,-1.289979,-0.528703,-0.761276,32360291613000.0,-246351050679.19354,-356149862837.77203,-259884302635.46887,-375714893369.1541,129.607755,6.817079,6.986491,-0.169412,2648198000000.0,2984768963091.86,-5056543511.806018,5056543511.806018,-370658349857.3481,TNA oficial mensual,interpolado entre cortes oficiales,True,8353.3158,12076.3937,1.445701,2026-07,post_shock
2025-04,3.044714,1.069151,1.975563,1621004043000.0,32023952463.389088,-32023952463.389088,-45044435616.773865,-0.066624,-0.528703,0.462079,35611765691000.0,164554582017.52982,231460132337.12244,132530629554.14073,186415696720.34857,129.71231,7.811304,6.986491,0.824813,2783272000000.0,3137010103263.656,25874466696.888687,-25874466696.888687,160541230023.4599,TNA oficial mensual,interpolado entre cortes oficiales,True,8585.6078,12076.3937,1.406586,2026-07,post_shock
2025-05,4.449514,1.069151,3.380363,1429665953000.0,48327895689.67771,-48327895689.67771,-66972007456.53534,1.180833,-0.528703,1.709536,36041508860000.0,616142661236.0194,853840423087.1945,567814765546.3417,786868415630.6592,132.003388,9.35869,6.986491,2.372199,2918346000000.0,3289251243435.4517,78027580579.6348,-78027580579.6348,708840835051.0244,TNA oficial mensual,interpolado entre cortes oficiales,True,8714.4871,12076.3937,1.385784,2026-07,post_shock
2025-06,4.396002,1.069151,3.326851,1228763226000.0,40879118913.64239,-40879118913.64239,-55747110578.96577,1.014812,-0.528703,1.543515,36584620263000.0,564689195174.917,770070193358.7341,523810076261.2746,714323082779.7683,131.398027,9.182257,6.986491,2.195766,3053420000000.0,3441492383607.2476,75567123226.77904,-75567123226.77904,638755959552.9893,TNA oficial mensual,interpolado entre cortes oficiales,True,8855.5681,12076.3937,1.363706,2026-07,post_shock
2025-07,3.84389,1.069151,2.774739,1396174031000.0,38740182212.075806,-38740182212.075806,-51844314295.12969,0.75985,-0.528703,1.288553,37833957784000.0,487510694967.4907,652414527989.8363,448770512755.4149,600570213694.7067,130.418011,8.799152,6.986491,1.812661,3188494000000.0,3593733523779.044,65142207162.9903,-65142207162.9903,535428006531.7164,TNA oficial mensual,interpolado entre cortes oficiales,True,9023.973,12076.3937,1.338257,2026-07,post_shock
2025-08,4.226303,1.069151,3.157152,1392514188000.0,43963786410.987625,-43963786410.987625,-57751538789.424355,1.944079,-0.528703,2.472782,41648917338000.0,1029887037825.131,1352876220843.8557,985923251414.1433,1295124682054.4314,137.112858,9.374433,6.986491,2.387942,3323568000000.0,3745974663950.84,89451709542.07217,-89451709542.07217,1205672972512.3591,TNA oficial mensual,corte oficial,True,9193.2441,12076.3937,1.313616,2026-07,post_shock
2025-09,4.634421,1.069151,3.56527,1211270634000.0,43185065813.90606,-43185065813.90606,-55574886266.47771,1.848749,-0.528703,2.377452,46895924300000.0,1114928210326.8052,1434801761127.5076,1071743144512.8992,1379226874861.0298,155.936335,10.696675,6.986491,3.710185,3386233166666.6665,3816604218286.8994,141603066446.72696,-141603066446.72696,1237623808414.3027,TNA oficial mensual,interpolado entre cortes oficiales,True,9384.0922,12076.3937,1.286901,2026-07,post_shock
