fecha,monto_operado_personales_nominal,fuente,codigo_serie,nota_metodologica
2023-08,141025634000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2023-09,221200907000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2023-10,200472222000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2023-11,171540325000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2023-12,162761320000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-01,233660768000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-02,303967648000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-03,312343159000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-04,497766178000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-05,827370607000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-06,780949138000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
