"periodo","rango_etario","cobertura_personales_pct_poblacion_del_rango","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","fuente","nota"
"2024-06","85 - 89","10,2698","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-06","TOTAL","31,08775","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","15 - 19","1,45137","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","20 - 24","16,18429","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","25 - 29","26,501","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","30 - 34","31,02108","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","35 - 39","32,15969","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","40 - 44","31,35753","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","45 - 49","28,75941","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","50 - 54","26,83226","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","55 - 59","24,34481","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","60 - 64","24,17603","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","65 - 69","25,26478","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","70 - 74","24,45612","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","75 - 79","20,86283","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","80 - 84","15,00073","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","85 - 89","6,59773","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-07","TOTAL","23,10117","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","15 - 19","2,26764","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","20 - 24","19,45496","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","25 - 29","30,34801","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","30 - 34","35,68951","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","35 - 39","37,11142","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","40 - 44","35,78601","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","45 - 49","33,40232","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","50 - 54","31,03105","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","55 - 59","28,03512","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","60 - 64","28,28671","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
