"provincia","nombre","compartido","empresa","inv-comprometida","empleos-generados","sector","descripcion","enlace","empleos-generados-texto","impacto"
"Jujuy","Ampliación Cauchari Olaroz","","Minera Exar Sucursal Dedicada","1241","1787","Minería","Ampliación del proyecto Cauchari Olaroz mediante la construcción de pozos de extracción, pozas de evaporación y una nueva planta de producción, para incrementar su capacidad en 45.000 t/año de carbonato de litio equivalente y alcanzar un total de 85.000 t/año","https://www.argentina.gob.ar/normativa/nacional/norma-426429","",""
"Río Negro","San Matías Pipeline SA","Neuquén","San Matías Pipeline S.A.","1300","2489","Petróleo y gas","Gasoducto de 480 km que llevará gas de Vaca Muerta desde el Predio Cabecera Tratayén en Neuquén hasta la Estación Compresora San Antonio Oeste en Río Negro, para su exportación como GNL. Con 36 pulgadas de diámetro y una capacidad de 27 millones de metros cúbicos diarios, busca evacuar la producción incremental de la cuenca Neuquina hacia terminales licuefactoras en el Golfo San Matías, aprovechando el potencial de recursos no convencionales provenientes de Vaca Muerta.","https://www.argentina.gob.ar/normativa/nacional/norma-427059","",""
"Neuquén","San Matías Pipeline SA","Río Negro","San Matías Pipeline S.A.","1300","2489","Petróleo y gas","Gasoducto de 480 km que llevará gas de Vaca Muerta desde el Predio Cabecera Tratayén en Neuquén hasta la Estación Compresora San Antonio Oeste en Río Negro, para su exportación como GNL. Con 36 pulgadas de diámetro y una capacidad de 27 millones de metros cúbicos diarios, busca evacuar la producción incremental de la cuenca Neuquina hacia terminales licuefactoras en el Golfo San Matías, aprovechando el potencial de recursos no convencionales provenientes de Vaca Muerta.","https://www.argentina.gob.ar/normativa/nacional/norma-427059","",""
"Neuquén","Proyecto Rincón de Aranda","","Pampa Energía Sociedad Anónima - Sucursal dedicada proyecto RDA","4522","1733","Petróleo y gas","Nuevo desarrollo de hidrocarburos en el área Rincón de Aranda, Vaca Muerta, el cual consiste en la perforación de 259 pozos junto con su infraestructura asociada para el tratamiento de la producción por una capacidad máxima de 44 mil barriles de petróleo diarios. El proyecto prevé un total de 305 millones de barriles de petróleo de exportación durante su operación.","https://www.argentina.gob.ar/normativa/nacional/norma-427918","",""
"Catamarca","Proyecto de la Sucursal Dedicada de Liex S.A","","Liex S.A. Sucursal Dedicada","710","4406","Minería","Construcción y operación de una planta de proceso y de la infraestructura asociada, diseñadas para alcanzar una capacidad de producción de cuarenta mil (40.000) toneladas anuales de carbonato de litio mediante el método de extracción directa.","https://www.argentina.gob.ar/normativa/nacional/norma-428274","",""
"San Juan","Vicuña","","Vicuña Argentina SA","9737","31700","Minería","Proyecto para la extracción, producción y exportación de cobre, oro y plata. Incluye infraestructura clave para operaciones de minería a cielo abierto: una planta concentradora para el procesamiento de minerales, instalaciones de lixiviación, infraestructura eléctrica, sistemas de suministro de agua, caminos de acceso y alojamientos.","https://www.argentina.gob.ar/normativa/nacional/norma-428357","",""
"Salta","Sal de Oro II","Catamarca","Posco Argentina SAU SDE","547","2335","Minería","Construcción de una planta destinada a la producción de carbonato de litio y su infraestructura complementaria. La planta tendrá una capacidad operativa aproximada de 23.000 toneladas anuales, que se obtendrá a través de un proceso convencional de evaporación solar y tratamiento químico de salmuera.","","",""
"Catamarca","Sal de Oro II","Salta","Posco Argentina SAU SDE","547","2335","Minería","Construcción de una planta destinada a la producción de carbonato de litio y su infraestructura complementaria. La planta tendrá una capacidad operativa aproximada de 23.000 toneladas anuales, que se obtendrá a través de un proceso convencional de evaporación solar y tratamiento químico de salmuera.","","",""
"Neuquén","Ampliación Mega","La Pampa, Río Negro, Buenos Aires","Compañía Mega S.A. Sucursal Dedicada","365","792","Petróleo y gas","Ampliación de un complejo industrial para incrementar la capacidad de producción de Líquidos del Gas Natural (LGN) en 1500 toneladas diarias.  El proyecto contempla nuevas instalaciones en la Planta de Separación de Loma La Lata, la ampliación de la capacidad de transporte del poliducto que atraviesa Neuquén, Río Negro, La Pampa y Buenos Aires, y la expansión de la Planta de Fraccionamiento ubicada en Bahía Blanca.","https://www.argentina.gob.ar/normativa/nacional/norma-429238","",""
"La Pampa","Ampliación Mega","Neuquén, Río Negro, Buenos Aires","Compañía Mega S.A. Sucursal Dedicada","365","792","Petróleo y gas","Ampliación de un complejo industrial para incrementar la capacidad de producción de Líquidos del Gas Natural (LGN) en 1500 toneladas diarias.  El proyecto contempla nuevas instalaciones en la Planta de Separación de Loma La Lata, la ampliación de la capacidad de transporte del poliducto que atraviesa Neuquén, Río Negro, La Pampa y Buenos Aires, y la expansión de la Planta de Fraccionamiento ubicada en Bahía Blanca.","https://www.argentina.gob.ar/normativa/nacional/norma-429238","",""
"Río Negro","Ampliación Mega","Neuquén, La Pampa y Buenos Aires","Compañía Mega S.A. Sucursal Dedicada","365","792","Petróleo y gas","Ampliación de un complejo industrial para incrementar la capacidad de producción de Líquidos del Gas Natural (LGN) en 1500 toneladas diarias.  El proyecto contempla nuevas instalaciones en la Planta de Separación de Loma La Lata, la ampliación de la capacidad de transporte del poliducto que atraviesa Neuquén, Río Negro, La Pampa y Buenos Aires, y la expansión de la Planta de Fraccionamiento ubicada en Bahía Blanca.","https://www.argentina.gob.ar/normativa/nacional/norma-429238","",""
"Buenos Aires","Ampliación Mega","Neuquén, La Pampa, Río Negro","Compañía Mega S.A. Sucursal Dedicada","365","792","Petróleo y gas","Ampliación de un complejo industrial para incrementar la capacidad de producción de Líquidos del Gas Natural (LGN) en 1500 toneladas diarias.  El proyecto contempla nuevas instalaciones en la Planta de Separación de Loma La Lata, la ampliación de la capacidad de transporte del poliducto que atraviesa Neuquén, Río Negro, La Pampa y Buenos Aires, y la expansión de la Planta de Fraccionamiento ubicada en Bahía Blanca.","https://www.argentina.gob.ar/normativa/nacional/norma-429238","",""
